Num,Minute,DateType
0,0,3
0,1,3
0,2,3
0,3,3
0,4,3
0,5,3
0,6,3
0,7,3
3,8,3
1,9,3
0,10,3
0,11,3
0,12,3
0,13,3
0,14,3
0,15,3
0,16,3
0,17,3
1,18,3
1,19,3
0,20,3
0,21,3
1,22,3
13,23,3
28,24,3
62,25,3
60,26,3
102,27,3
109,28,3
144,29,3
154,30,3
182,31,3
173,32,3
192,33,3
244,34,3
227,35,3
189,36,3
223,37,3
222,38,3
211,39,3
246,40,3
265,41,3
282,42,3
251,43,3
253,44,3
300,45,3
286,46,3
273,47,3
289,48,3
273,49,3
298,50,3
282,51,3
257,52,3
337,53,3
359,54,3
337,55,3
407,56,3
389,57,3
398,58,3
351,59,3
386,60,3
375,61,3
395,62,3
336,63,3
356,64,3
428,65,3
406,66,3
329,67,3
423,68,3
430,69,3
425,70,3
388,71,3
451,72,3
399,73,3
412,74,3
364,75,3
371,76,3
334,77,3
259,78,3
291,79,3
325,80,3
321,81,3
285,82,3
293,83,3
296,84,3
295,85,3
240,86,3
181,87,3
249,88,3
239,89,3
157,90,3
108,91,3
126,92,3
90,93,3
67,94,3
30,95,3
18,0,2
2,1,2
0,2,2
0,3,2
0,4,2
0,5,2
0,6,2
0,7,2
0,8,2
0,9,2
0,10,2
0,11,2
0,12,2
0,13,2
0,14,2
0,15,2
0,16,2
0,17,2
3,18,2
0,19,2
0,20,2
0,21,2
2,22,2
22,23,2
67,24,2
99,25,2
167,26,2
281,27,2
352,28,2
556,29,2
900,30,2
1115,31,2
1042,32,2
1081,33,2
979,34,2
698,35,2
448,36,2
429,37,2
337,38,2
249,39,2
245,40,2
210,41,2
176,42,2
198,43,2
198,44,2
190,45,2
210,46,2
199,47,2
194,48,2
214,49,2
240,50,2
209,51,2
210,52,2
240,53,2
186,54,2
205,55,2
208,56,2
218,57,2
224,58,2
224,59,2
214,60,2
234,61,2
226,62,2
240,63,2
228,64,2
248,65,2
307,66,2
339,67,2
338,68,2
532,69,2
498,70,2
671,71,2
667,72,2
812,73,2
661,74,2
639,75,2
482,76,2
405,77,2
392,78,2
287,79,2
307,80,2
266,81,2
265,82,2
264,83,2
272,84,2
243,85,2
228,86,2
183,87,2
168,88,2
186,89,2
118,90,2
97,91,2
95,92,2
28,93,2
37,94,2
11,95,2
1,0,2
0,1,2
0,2,2
7,3,2
4,4,2
0,5,2
0,6,2
0,7,2
2,8,2
0,9,2
0,10,2
0,11,2
0,12,2
0,13,2
0,14,2
0,15,2
0,16,2
0,17,2
4,18,2
0,19,2
0,20,2
1,21,2
0,22,2
23,23,2
59,24,2
96,25,2
169,26,2
246,27,2
302,28,2
465,29,2
762,30,2
1029,31,2
1077,32,2
1072,33,2
851,34,2
691,35,2
486,36,2
423,37,2
307,38,2
245,39,2
265,40,2
197,41,2
210,42,2
188,43,2
175,44,2
157,45,2
211,46,2
186,47,2
219,48,2
227,49,2
202,50,2
210,51,2
212,52,2
197,53,2
175,54,2
168,55,2
162,56,2
196,57,2
166,58,2
212,59,2
202,60,2
202,61,2
199,62,2
249,63,2
249,64,2
235,65,2
285,66,2
324,67,2
389,68,2
454,69,2
517,70,2
615,71,2
694,72,2
658,73,2
663,74,2
554,75,2
479,76,2
413,77,2
297,78,2
317,79,2
298,80,2
289,81,2
251,82,2
266,83,2
288,84,2
273,85,2
235,86,2
224,87,2
161,88,2
191,89,2
92,90,2
108,91,2
86,92,2
47,93,2
42,94,2
16,95,2
2,0,1
1,1,1
0,2,1
0,3,1
0,4,1
0,5,1
3,6,1
0,7,1
0,8,1
2,9,1
0,10,1
0,11,1
0,12,1
0,13,1
0,14,1
0,15,1
0,16,1
0,17,1
1,18,1
1,19,1
0,20,1
1,21,1
2,22,1
13,23,1
44,24,1
83,25,1
135,26,1
218,27,1
276,28,1
464,29,1
711,30,1
1048,31,1
965,32,1
1146,33,1
911,34,1
660,35,1
523,36,1
425,37,1
283,38,1
217,39,1
204,40,1
185,41,1
180,42,1
194,43,1
156,44,1
197,45,1
166,46,1
155,47,1
223,48,1
231,49,1
213,50,1
209,51,1
187,52,1
186,53,1
