Num,Minute,DateType,Unnamed: 0,0
0.0,0.0,3.0,,
0.0,1.0,3.0,,
0.0,2.0,3.0,,
0.0,3.0,3.0,,
0.0,4.0,3.0,,
0.0,5.0,3.0,,
0.0,6.0,3.0,,
0.0,7.0,3.0,,
0.0,8.0,3.0,,
0.0,9.0,3.0,,
0.0,10.0,3.0,,
0.0,11.0,3.0,,
0.0,12.0,3.0,,
0.0,13.0,3.0,,
0.0,14.0,3.0,,
0.0,15.0,3.0,,
0.0,16.0,3.0,,
1.0,17.0,3.0,,
0.0,18.0,3.0,,
0.0,19.0,3.0,,
0.0,20.0,3.0,,
1.0,21.0,3.0,,
0.0,22.0,3.0,,
4.0,23.0,3.0,,
6.0,24.0,3.0,,
13.0,25.0,3.0,,
15.0,26.0,3.0,,
24.0,27.0,3.0,,
27.0,28.0,3.0,,
53.0,29.0,3.0,,
48.0,30.0,3.0,,
66.0,31.0,3.0,,
89.0,32.0,3.0,,
100.0,33.0,3.0,,
112.0,34.0,3.0,,
71.0,35.0,3.0,,
75.0,36.0,3.0,,
86.0,37.0,3.0,,
87.0,38.0,3.0,,
109.0,39.0,3.0,,
82.0,40.0,3.0,,
97.0,41.0,3.0,,
95.0,42.0,3.0,,
95.0,43.0,3.0,,
110.0,44.0,3.0,,
104.0,45.0,3.0,,
106.0,46.0,3.0,,
123.0,47.0,3.0,,
75.0,48.0,3.0,,
114.0,49.0,3.0,,
100.0,50.0,3.0,,
113.0,51.0,3.0,,
109.0,52.0,3.0,,
117.0,53.0,3.0,,
119.0,54.0,3.0,,
108.0,55.0,3.0,,
113.0,56.0,3.0,,
94.0,57.0,3.0,,
113.0,58.0,3.0,,
130.0,59.0,3.0,,
123.0,60.0,3.0,,
119.0,61.0,3.0,,
120.0,62.0,3.0,,
123.0,63.0,3.0,,
118.0,64.0,3.0,,
135.0,65.0,3.0,,
154.0,66.0,3.0,,
114.0,67.0,3.0,,
137.0,68.0,3.0,,
136.0,69.0,3.0,,
123.0,70.0,3.0,,
135.0,71.0,3.0,,
119.0,72.0,3.0,,
167.0,73.0,3.0,,
111.0,74.0,3.0,,
130.0,75.0,3.0,,
109.0,76.0,3.0,,
112.0,77.0,3.0,,
104.0,78.0,3.0,,
120.0,79.0,3.0,,
121.0,80.0,3.0,,
109.0,81.0,3.0,,
99.0,82.0,3.0,,
117.0,83.0,3.0,,
92.0,84.0,3.0,,
105.0,85.0,3.0,,
95.0,86.0,3.0,,
81.0,87.0,3.0,,
69.0,88.0,3.0,,
73.0,89.0,3.0,,
57.0,90.0,3.0,,
70.0,91.0,3.0,,
23.0,92.0,3.0,,
16.0,93.0,3.0,,
7.0,94.0,3.0,,
5.0,95.0,3.0,,
0.0,0.0,2.0,,
1.0,1.0,2.0,,
2.0,2.0,2.0,,
4.0,3.0,2.0,,
1.0,4.0,2.0,,
2.0,5.0,2.0,,
1.0,6.0,2.0,,
1.0,7.0,2.0,,
1.0,8.0,2.0,,
1.0,9.0,2.0,,
0.0,10.0,2.0,,
0.0,11.0,2.0,,
0.0,12.0,2.0,,
0.0,13.0,2.0,,
0.0,14.0,2.0,,
0.0,15.0,2.0,,
0.0,16.0,2.0,,
1.0,17.0,2.0,,
2.0,18.0,2.0,,
0.0,19.0,2.0,,
1.0,20.0,2.0,,
0.0,21.0,2.0,,
1.0,22.0,2.0,,
2.0,23.0,2.0,,
15.0,24.0,2.0,,
23.0,25.0,2.0,,
37.0,26.0,2.0,,
46.0,27.0,2.0,,
88.0,28.0,2.0,,
138.0,29.0,2.0,,
247.0,30.0,2.0,,
389.0,31.0,2.0,,
618.0,32.0,2.0,,
606.0,33.0,2.0,,
669.0,34.0,2.0,,
409.0,35.0,2.0,,
218.0,36.0,2.0,,
208.0,37.0,2.0,,
140.0,38.0,2.0,,
128.0,39.0,2.0,,
96.0,40.0,2.0,,
78.0,41.0,2.0,,
67.0,42.0,2.0,,
74.0,43.0,2.0,,
73.0,44.0,2.0,,
88.0,45.0,2.0,,
74.0,46.0,2.0,,
64.0,47.0,2.0,,
70.0,48.0,2.0,,
82.0,49.0,2.0,,
90.0,50.0,2.0,,
103.0,51.0,2.0,,
59.0,52.0,2.0,,
66.0,53.0,2.0,,
78.0,54.0,2.0,,
83.0,55.0,2.0,,
101.0,56.0,2.0,,
83.0,57.0,2.0,,
67.0,58.0,2.0,,
76.0,59.0,2.0,,
74.0,60.0,2.0,,
85.0,61.0,2.0,,
89.0,62.0,2.0,,
81.0,63.0,2.0,,
101.0,64.0,2.0,,
74.0,65.0,2.0,,
111.0,66.0,2.0,,
110.0,67.0,2.0,,
153.0,68.0,2.0,,
187.0,69.0,2.0,,
277.0,70.0,2.0,,
373.0,71.0,2.0,,
377.0,72.0,2.0,,
353.0,73.0,2.0,,
314.0,74.0,2.0,,
192.0,75.0,2.0,,
206.0,76.0,2.0,,
144.0,77.0,2.0,,
131.0,78.0,2.0,,
127.0,79.0,2.0,,
121.0,80.0,2.0,,
128.0,81.0,2.0,,
154.0,82.0,2.0,,
125.0,83.0,2.0,,
110.0,84.0,2.0,,
115.0,85.0,2.0,,
91.0,86.0,2.0,,
70.0,87.0,2.0,,
74.0,88.0,2.0,,
60.0,89.0,2.0,,
53.0,90.0,2.0,,
24.0,91.0,2.0,,
17.0,92.0,2.0,,
6.0,93.0,2.0,,
7.0,94.0,2.0,,
1.0,95.0,2.0,,
2.0,0.0,2.0,,
2.0,1.0,2.0,,
0.0,2.0,2.0,,
0.0,3.0,2.0,,
0.0,4.0,2.0,,
5.0,5.0,2.0,,
0.0,6.0,2.0,,
0.0,7.0,2.0,,
0.0,8.0,2.0,,
0.0,9.0,2.0,,
0.0,10.0,2.0,,
0.0,11.0,2.0,,
0.0,12.0,2.0,,
0.0,13.0,2.0,,
1.0,14.0,2.0,,
1.0,15.0,2.0,,
1.0,16.0,2.0,,
1.0,17.0,2.0,,
0.0,18.0,2.0,,
0.0,19.0,2.0,,
0.0,20.0,2.0,,
0.0,21.0,2.0,,
7.0,22.0,2.0,,
5.0,23.0,2.0,,
9.0,24.0,2.0,,
19.0,25.0,2.0,,
24.0,26.0,2.0,,
43.0,27.0,2.0,,
74.0,28.0,2.0,,
148.0,29.0,2.0,,
236.0,30.0,2.0,,
387.0,31.0,2.0,,
525.0,32.0,2.0,,
648.0,33.0,2.0,,
700.0,34.0,2.0,,
480.0,35.0,2.0,,
282.0,36.0,2.0,,
221.0,37.0,2.0,,
152.0,38.0,2.0,,
113.0,39.0,2.0,,
200.0,40.0,2.0,,
89.0,41.0,2.0,,
71.0,42.0,2.0,,
70.0,43.0,2.0,,
76.0,44.0,2.0,,
66.0,45.0,2.0,,
56.0,46.0,2.0,,
80.0,47.0,2.0,,
57.0,48.0,2.0,,
85.0,49.0,2.0,,
78.0,50.0,2.0,,
80.0,51.0,2.0,,
97.0,52.0,2.0,,
84.0,53.0,2.0,,
70.0,54.0,2.0,,
81.0,55.0,2.0,,
72.0,56.0,2.0,,
63.0,57.0,2.0,,
74.0,58.0,2.0,,
75.0,59.0,2.0,,
85.0,60.0,2.0,,
83.0,61.0,2.0,,
80.0,62.0,2.0,,
95.0,63.0,2.0,,
91.0,64.0,2.0,,
104.0,65.0,2.0,,
101.0,66.0,2.0,,
111.0,67.0,2.0,,
150.0,68.0,2.0,,
199.0,69.0,2.0,,
288.0,70.0,2.0,,
383.0,71.0,2.0,,
348.0,72.0,2.0,,
302.0,73.0,2.0,,
293.0,74.0,2.0,,
237.0,75.0,2.0,,
164.0,76.0,2.0,,
155.0,77.0,2.0,,
157.0,78.0,2.0,,
129.0,79.0,2.0,,
156.0,80.0,2.0,,
122.0,81.0,2.0,,
154.0,82.0,2.0,,
141.0,83.0,2.0,,
117.0,84.0,2.0,,
94.0,85.0,2.0,,
105.0,86.0,2.0,,
72.0,87.0,2.0,,
85.0,88.0,2.0,,
75.0,89.0,2.0,,
48.0,90.0,2.0,,
41.0,91.0,2.0,,
14.0,92.0,2.0,,
9.0,93.0,2.0,,
9.0,94.0,2.0,,
0.0,95.0,2.0,,
2.0,0.0,1.0,,
0.0,1.0,1.0,,
1.0,2.0,1.0,,
0.0,3.0,1.0,,
0.0,4.0,1.0,,
0.0,5.0,1.0,,
0.0,6.0,1.0,,
2.0,7.0,1.0,,
0.0,8.0,1.0,,
2.0,9.0,1.0,,
2.0,10.0,1.0,,
0.0,11.0,1.0,,
0.0,12.0,1.0,,
0.0,13.0,1.0,,
0.0,14.0,1.0,,
0.0,15.0,1.0,,
0.0,16.0,1.0,,
1.0,17.0,1.0,,
1.0,18.0,1.0,,
0.0,19.0,1.0,,
0.0,20.0,1.0,,
0.0,21.0,1.0,,
1.0,22.0,1.0,,
1.0,23.0,1.0,,
6.0,24.0,1.0,,
20.0,25.0,1.0,,
23.0,26.0,1.0,,
50.0,27.0,1.0,,
61.0,28.0,1.0,,
158.0,29.0,1.0,,
237.0,30.0,1.0,,
358.0,31.0,1.0,,
569.0,32.0,1.0,,
588.0,33.0,1.0,,
682.0,34.0,1.0,,
407.0,35.0,1.0,,
258.0,36.0,1.0,,
176.0,37.0,1.0,,
126.0,38.0,1.0,,
126.0,39.0,1.0,,
125.0,40.0,1.0,,
72.0,41.0,1.0,,
75.0,42.0,1.0,,
86.0,43.0,1.0,,
69.0,44.0,1.0,,
66.0,45.0,1.0,,
76.0,46.0,1.0,,
74.0,47.0,1.0,,
66.0,48.0,1.0,,
76.0,49.0,1.0,,
74.0,50.0,1.0,,
93.0,51.0,1.0,,
66.0,52.0,1.0,,
59.0,53.0,1.0,,
60.0,54.0,1.0,,
82.0,55.0,1.0,,
74.0,56.0,1.0,,
76.0,57.0,1.0,,
109.0,58.0,1.0,,
83.0,59.0,1.0,,
73.0,60.0,1.0,,
88.0,61.0,1.0,,
85.0,62.0,1.0,,
115.0,63.0,1.0,,
110.0,64.0,1.0,,
119.0,65.0,1.0,,
113.0,66.0,1.0,,
130.0,67.0,1.0,,
145.0,68.0,1.0,,
199.0,69.0,1.0,,
267.0,70.0,1.0,,
361.0,71.0,1.0,,
375.0,72.0,1.0,,
340.0,73.0,1.0,,
295.0,74.0,1.0,,
205.0,75.0,1.0,,
192.0,76.0,1.0,,
191.0,77.0,1.0,,
170.0,78.0,1.0,,
112.0,79.0,1.0,,
163.0,80.0,1.0,,
136.0,81.0,1.0,,
163.0,82.0,1.0,,
134.0,83.0,1.0,,
124.0,84.0,1.0,,
132.0,85.0,1.0,,
81.0,86.0,1.0,,
90.0,87.0,1.0,,
78.0,88.0,1.0,,
98.0,89.0,1.0,,
82.0,90.0,1.0,,
54.0,91.0,1.0,,
21.0,92.0,1.0,,
18.0,93.0,1.0,,
4.0,94.0,1.0,,
0.0,95.0,1.0,,
4.0,0.0,1.0,,
0.0,1.0,1.0,,
4.0,2.0,1.0,,
1.0,3.0,1.0,,
1.0,4.0,1.0,,
0.0,5.0,1.0,,
0.0,6.0,1.0,,
4.0,7.0,1.0,,
0.0,8.0,1.0,,
0.0,9.0,1.0,,
6.0,10.0,1.0,,
4.0,11.0,1.0,,
0.0,12.0,1.0,,
0.0,13.0,1.0,,
1.0,14.0,1.0,,
0.0,15.0,1.0,,
0.0,16.0,1.0,,
1.0,17.0,1.0,,
2.0,18.0,1.0,,
0.0,19.0,1.0,,
0.0,20.0,1.0,,
0.0,21.0,1.0,,
2.0,22.0,1.0,,
5.0,23.0,1.0,,
8.0,24.0,1.0,,
9.0,25.0,1.0,,
16.0,26.0,1.0,,
15.0,27.0,1.0,,
33.0,28.0,1.0,,
57.0,29.0,1.0,,
83.0,30.0,1.0,,
121.0,31.0,1.0,,
212.0,32.0,1.0,,
249.0,33.0,1.0,,
329.0,34.0,1.0,,
208.0,35.0,1.0,,
153.0,36.0,1.0,,
140.0,37.0,1.0,,
126.0,38.0,1.0,,
141.0,39.0,1.0,,
101.0,40.0,1.0,,
91.0,41.0,1.0,,
98.0,42.0,1.0,,
97.0,43.0,1.0,,
100.0,44.0,1.0,,
105.0,45.0,1.0,,
100.0,46.0,1.0,,
99.0,47.0,1.0,,
93.0,48.0,1.0,,
111.0,49.0,1.0,,
95.0,50.0,1.0,,
114.0,51.0,1.0,,
125.0,52.0,1.0,,
143.0,53.0,1.0,,
98.0,54.0,1.0,,
112.0,55.0,1.0,,
86.0,56.0,1.0,,
105.0,57.0,1.0,,
105.0,58.0,1.0,,
116.0,59.0,1.0,,
110.0,60.0,1.0,,
82.0,61.0,1.0,,
114.0,62.0,1.0,,
85.0,63.0,1.0,,
126.0,64.0,1.0,,
112.0,65.0,1.0,,
109.0,66.0,1.0,,
120.0,67.0,1.0,,
160.0,68.0,1.0,,
170.0,69.0,1.0,,
226.0,70.0,1.0,,
225.0,71.0,1.0,,
184.0,72.0,1.0,,
173.0,73.0,1.0,,
176.0,74.0,1.0,,
130.0,75.0,1.0,,
118.0,76.0,1.0,,
90.0,77.0,1.0,,
89.0,78.0,1.0,,
104.0,79.0,1.0,,
91.0,80.0,1.0,,
113.0,81.0,1.0,,
95.0,82.0,1.0,,
106.0,83.0,1.0,,
104.0,84.0,1.0,,
92.0,85.0,1.0,,
90.0,86.0,1.0,,
65.0,87.0,1.0,,
60.0,88.0,1.0,,
96.0,89.0,1.0,,
71.0,90.0,1.0,,
59.0,91.0,1.0,,
18.0,92.0,1.0,,
11.0,93.0,1.0,,
5.0,94.0,1.0,,
0.0,95.0,1.0,,
0.0,0.0,1.0,,
0.0,1.0,1.0,,
2.0,2.0,1.0,,
0.0,3.0,1.0,,
3.0,4.0,1.0,,
1.0,5.0,1.0,,
0.0,6.0,1.0,,
0.0,7.0,1.0,,
0.0,8.0,1.0,,
0.0,9.0,1.0,,
2.0,10.0,1.0,,
0.0,11.0,1.0,,
0.0,12.0,1.0,,
2.0,13.0,1.0,,
0.0,14.0,1.0,,
2.0,15.0,1.0,,
0.0,16.0,1.0,,
0.0,17.0,1.0,,
0.0,18.0,1.0,,
0.0,19.0,1.0,,
0.0,20.0,1.0,,
0.0,21.0,1.0,,
3.0,22.0,1.0,,
2.0,23.0,1.0,,
4.0,24.0,1.0,,
13.0,25.0,1.0,,
17.0,26.0,1.0,,
26.0,27.0,1.0,,
34.0,28.0,1.0,,
46.0,29.0,1.0,,
55.0,30.0,1.0,,
95.0,31.0,1.0,,
103.0,32.0,1.0,,
173.0,33.0,1.0,,
149.0,34.0,1.0,,
121.0,35.0,1.0,,
131.0,36.0,1.0,,
105.0,37.0,1.0,,
106.0,38.0,1.0,,
99.0,39.0,1.0,,
92.0,40.0,1.0,,
88.0,41.0,1.0,,
101.0,42.0,1.0,,
101.0,43.0,1.0,,
79.0,44.0,1.0,,
73.0,45.0,1.0,,
96.0,46.0,1.0,,
80.0,47.0,1.0,,
79.0,48.0,1.0,,
108.0,49.0,1.0,,
74.0,50.0,1.0,,
90.0,51.0,1.0,,
122.0,52.0,1.0,,
102.0,53.0,1.0,,
103.0,54.0,1.0,,
106.0,55.0,1.0,,
97.0,56.0,1.0,,
97.0,57.0,1.0,,
107.0,58.0,1.0,,
99.0,59.0,1.0,,
116.0,60.0,1.0,,
104.0,61.0,1.0,,
106.0,62.0,1.0,,
114.0,63.0,1.0,,
120.0,64.0,1.0,,
119.0,65.0,1.0,,
101.0,66.0,1.0,,
117.0,67.0,1.0,,
126.0,68.0,1.0,,
117.0,69.0,1.0,,
118.0,70.0,1.0,,
119.0,71.0,1.0,,
123.0,72.0,1.0,,
178.0,73.0,1.0,,
114.0,74.0,1.0,,
105.0,75.0,1.0,,
94.0,76.0,1.0,,
108.0,77.0,1.0,,
102.0,78.0,1.0,,
80.0,79.0,1.0,,
88.0,80.0,1.0,,
82.0,81.0,1.0,,
87.0,82.0,1.0,,
82.0,83.0,1.0,,
60.0,84.0,1.0,,
71.0,85.0,1.0,,
69.0,86.0,1.0,,
76.0,87.0,1.0,,
54.0,88.0,1.0,,
59.0,89.0,1.0,,
47.0,90.0,1.0,,
32.0,91.0,1.0,,
17.0,92.0,1.0,,
7.0,93.0,1.0,,
7.0,94.0,1.0,,
0.0,95.0,1.0,,
0.0,0.0,1.0,,
1.0,1.0,1.0,,
0.0,2.0,1.0,,
0.0,3.0,1.0,,
0.0,4.0,1.0,,
0.0,5.0,1.0,,
0.0,6.0,1.0,,
0.0,7.0,1.0,,
1.0,8.0,1.0,,
1.0,9.0,1.0,,
3.0,10.0,1.0,,
0.0,11.0,1.0,,
2.0,12.0,1.0,,
1.0,13.0,1.0,,
7.0,14.0,1.0,,
2.0,15.0,1.0,,
1.0,16.0,1.0,,
2.0,17.0,1.0,,
1.0,18.0,1.0,,
0.0,19.0,1.0,,
0.0,20.0,1.0,,
0.0,21.0,1.0,,
1.0,22.0,1.0,,
7.0,23.0,1.0,,
8.0,24.0,1.0,,
18.0,25.0,1.0,,
32.0,26.0,1.0,,
57.0,27.0,1.0,,
85.0,28.0,1.0,,
157.0,29.0,1.0,,
227.0,30.0,1.0,,
396.0,31.0,1.0,,
575.0,32.0,1.0,,
617.0,33.0,1.0,,
631.0,34.0,1.0,,
391.0,35.0,1.0,,
219.0,36.0,1.0,,
117.0,37.0,1.0,,
124.0,38.0,1.0,,
104.0,39.0,1.0,,
78.0,40.0,1.0,,
72.0,41.0,1.0,,
79.0,42.0,1.0,,
72.0,43.0,1.0,,
53.0,44.0,1.0,,
61.0,45.0,1.0,,
67.0,46.0,1.0,,
67.0,47.0,1.0,,
54.0,48.0,1.0,,
56.0,49.0,1.0,,
55.0,50.0,1.0,,
62.0,51.0,1.0,,
86.0,52.0,1.0,,
78.0,53.0,1.0,,
55.0,54.0,1.0,,
64.0,55.0,1.0,,
61.0,56.0,1.0,,
55.0,57.0,1.0,,
65.0,58.0,1.0,,
71.0,59.0,1.0,,
64.0,60.0,1.0,,
56.0,61.0,1.0,,
71.0,62.0,1.0,,
62.0,63.0,1.0,,
109.0,64.0,1.0,,
74.0,65.0,1.0,,
87.0,66.0,1.0,,
83.0,67.0,1.0,,
138.0,68.0,1.0,,
168.0,69.0,1.0,,
253.0,70.0,1.0,,
359.0,71.0,1.0,,
361.0,72.0,1.0,,
287.0,73.0,1.0,,
273.0,74.0,1.0,,
225.0,75.0,1.0,,
184.0,76.0,1.0,,
154.0,77.0,1.0,,
122.0,78.0,1.0,,
125.0,79.0,1.0,,
140.0,80.0,1.0,,
87.0,81.0,1.0,,
142.0,82.0,1.0,,
64.0,83.0,1.0,,
99.0,84.0,1.0,,
110.0,85.0,1.0,,
94.0,86.0,1.0,,
74.0,87.0,1.0,,
75.0,88.0,1.0,,
67.0,89.0,1.0,,
58.0,90.0,1.0,,
35.0,91.0,1.0,,
15.0,92.0,1.0,,
9.0,93.0,1.0,,
7.0,94.0,1.0,,
1.0,95.0,1.0,,
0.0,0.0,1.0,,
4.0,1.0,1.0,,
4.0,2.0,1.0,,
0.0,3.0,1.0,,
0.0,4.0,1.0,,
6.0,5.0,1.0,,
0.0,6.0,1.0,,
0.0,7.0,1.0,,
0.0,8.0,1.0,,
1.0,9.0,1.0,,
0.0,10.0,1.0,,
0.0,11.0,1.0,,
0.0,12.0,1.0,,
2.0,13.0,1.0,,
0.0,14.0,1.0,,
0.0,15.0,1.0,,
0.0,16.0,1.0,,
0.0,17.0,1.0,,
0.0,18.0,1.0,,
0.0,19.0,1.0,,
0.0,20.0,1.0,,
0.0,21.0,1.0,,
1.0,22.0,1.0,,
1.0,23.0,1.0,,
12.0,24.0,1.0,,
13.0,25.0,1.0,,
33.0,26.0,1.0,,
47.0,27.0,1.0,,
77.0,28.0,1.0,,
137.0,29.0,1.0,,
239.0,30.0,1.0,,
388.0,31.0,1.0,,
528.0,32.0,1.0,,
616.0,33.0,1.0,,
575.0,34.0,1.0,,
405.0,35.0,1.0,,
231.0,36.0,1.0,,
151.0,37.0,1.0,,
105.0,38.0,1.0,,
127.0,39.0,1.0,,
82.0,40.0,1.0,,
83.0,41.0,1.0,,
77.0,42.0,1.0,,
81.0,43.0,1.0,,
70.0,44.0,1.0,,
44.0,45.0,1.0,,
54.0,46.0,1.0,,
71.0,47.0,1.0,,
80.0,48.0,1.0,,
95.0,49.0,1.0,,
81.0,50.0,1.0,,
73.0,51.0,1.0,,
75.0,52.0,1.0,,
80.0,53.0,1.0,,
62.0,54.0,1.0,,
66.0,55.0,1.0,,
68.0,56.0,1.0,,
63.0,57.0,1.0,,
65.0,58.0,1.0,,
66.0,59.0,1.0,,
85.0,60.0,1.0,,
64.0,61.0,1.0,,
76.0,62.0,1.0,,
82.0,63.0,1.0,,
89.0,64.0,1.0,,
90.0,65.0,1.0,,
110.0,66.0,1.0,,
120.0,67.0,1.0,,
141.0,68.0,1.0,,
202.0,69.0,1.0,,
267.0,70.0,1.0,,
358.0,71.0,1.0,,
354.0,72.0,1.0,,
320.0,73.0,1.0,,
264.0,74.0,1.0,,
206.0,75.0,1.0,,
195.0,76.0,1.0,,
139.0,77.0,1.0,,
128.0,78.0,1.0,,
113.0,79.0,1.0,,
110.0,80.0,1.0,,
126.0,81.0,1.0,,
149.0,82.0,1.0,,
105.0,83.0,1.0,,
104.0,84.0,1.0,,
103.0,85.0,1.0,,
128.0,86.0,1.0,,
105.0,87.0,1.0,,
57.0,88.0,1.0,,
65.0,89.0,1.0,,
60.0,90.0,1.0,,
38.0,91.0,1.0,,
19.0,92.0,1.0,,
15.0,93.0,1.0,,
6.0,94.0,1.0,,
3.0,95.0,1.0,,
2.0,0.0,2.0,,
3.0,1.0,2.0,,
5.0,2.0,2.0,,
2.0,3.0,2.0,,
0.0,4.0,2.0,,
2.0,5.0,2.0,,
3.0,6.0,2.0,,
1.0,7.0,2.0,,
0.0,8.0,2.0,,
1.0,9.0,2.0,,
2.0,10.0,2.0,,
3.0,11.0,2.0,,
4.0,12.0,2.0,,
0.0,13.0,2.0,,
0.0,14.0,2.0,,
0.0,15.0,2.0,,
0.0,16.0,2.0,,
1.0,17.0,2.0,,
1.0,18.0,2.0,,
1.0,19.0,2.0,,
1.0,20.0,2.0,,
0.0,21.0,2.0,,
1.0,22.0,2.0,,
7.0,23.0,2.0,,
12.0,24.0,2.0,,
19.0,25.0,2.0,,
36.0,26.0,2.0,,
44.0,27.0,2.0,,
76.0,28.0,2.0,,
139.0,29.0,2.0,,
212.0,30.0,2.0,,
374.0,31.0,2.0,,
574.0,32.0,2.0,,
651.0,33.0,2.0,,
629.0,34.0,2.0,,
347.0,35.0,2.0,,
218.0,36.0,2.0,,
168.0,37.0,2.0,,
123.0,38.0,2.0,,
95.0,39.0,2.0,,
93.0,40.0,2.0,,
74.0,41.0,2.0,,
82.0,42.0,2.0,,
70.0,43.0,2.0,,
56.0,44.0,2.0,,
66.0,45.0,2.0,,
59.0,46.0,2.0,,
68.0,47.0,2.0,,
66.0,48.0,2.0,,
74.0,49.0,2.0,,
