Num,Hour,DateType
0,0,3
0,1,3
0,2,3
0,3,3
0,4,3
0,5,3
0,6,3
0,7,3
0,8,3
0,9,3
1,10,3
242,11,3
568,12,3
392,13,3
491,14,3
777,15,3
912,16,3
1180,17,3
1423,18,3
1542,19,3
1919,20,3
2130,21,3
2389,22,3
2500,23,3
2586,24,3
2929,25,3
2842,26,3
2828,27,3
3236,28,3
3450,29,3
3335,30,3
3364,31,3
3576,32,3
3480,33,3
3272,34,3
3062,35,3
2737,36,3
2405,37,3
2269,38,3
2160,39,3
2048,40,3
1820,41,3
1618,42,3
1333,43,3
1124,44,3
663,45,3
251,46,3
59,47,3
0,0,2
0,1,2
0,2,2
0,3,2
0,4,2
0,5,2
0,6,2
0,7,2
0,8,2
0,9,2
1,10,2
24,11,2
130,12,2
359,13,2
865,14,2
1859,15,2
3210,16,2
2383,17,2
1866,18,2
1525,19,2
1332,20,2
1275,21,2
1202,22,2
1294,23,2
1333,24,2
1401,25,2
1421,26,2
1383,27,2
1407,28,2
1507,29,2
1482,30,2
1473,31,2
1495,32,2
1597,33,2
2153,34,2
2780,35,2
2590,36,2
1980,37,2
1448,38,2
1175,39,2
1213,40,2
1150,41,2
1174,42,2
914,43,2
865,44,2
410,45,2
146,46,2
0,47,2
0,0,2
0,1,2
0,2,2
0,3,2
0,4,2
0,5,2
0,6,2
0,7,2
0,8,2
0,9,2
0,10,2
11,11,2
105,12,2
329,13,2
822,14,2
1756,15,2
3172,16,2
2498,17,2
1839,18,2
1451,19,2
1257,20,2
1216,21,2
1184,22,2
1222,23,2
1245,24,2
1217,25,2
1424,26,2
1335,27,2
1366,28,2
1250,29,2
1359,30,2
1323,31,2
1466,32,2
1580,33,2
2216,34,2
2753,35,2
2376,36,2
1942,37,2
1559,38,2
1357,39,2
1347,40,2
1272,41,2
1311,42,2
935,43,2
886,44,2
428,45,2
156,46,2
6,47,2
0,0,1
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
1,7,1
0,8,1
0,9,1
1,10,1
28,11,1
131,12,1
299,13,1
835,14,1
1745,15,1
3106,16,1
2412,17,1
1782,18,1
1442,19,1
1315,20,1
1166,21,1
1082,22,1
1214,23,1
1271,24,1
1263,25,1
1352,26,1
1341,27,1
1330,28,1
1306,29,1
1358,30,1
1465,31,1
1434,32,1
1744,33,1
2468,34,1
3155,35,1
2971,36,1
2236,37,1
1792,38,1
1470,39,1
1425,40,1
1535,41,1
1480,42,1
1337,43,1
1144,44,1
749,45,1
219,46,1
2,47,1
0,0,1
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
0,8,1
0,9,1
0,10,1
20,11,1
88,12,1
194,13,1
427,14,1
785,15,1
1067,16,1
1515,17,1
1370,18,1
1566,19,1
1550,20,1
1510,21,1
1563,22,1
1846,23,1
1712,24,1
1821,25,1
1910,26,1
1878,27,1
2050,28,1
2052,29,1
2114,30,1
2127,31,1
2088,32,1
2321,33,1
2505,34,1
2485,35,1
2336,36,1
1983,37,1
1640,38,1
1669,39,1
1735,40,1
1810,41,1
1753,42,1
1498,43,1
1341,44,1
767,45,1
197,46,1
2,47,1
0,0,1
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
0,8,1
0,9,1
2,10,1
9,11,1
117,12,1
184,13,1
379,14,1
693,15,1
864,16,1
1129,17,1
1281,18,1
1437,19,1
1386,20,1
1550,21,1
1773,22,1
1783,23,1
1809,24,1
1888,25,1
1954,26,1
2133,27,1
2191,28,1
2281,29,1
2250,30,1
2286,31,1
2356,32,1
2412,33,1
2310,34,1
2461,35,1
2071,36,1
1795,37,1
1763,38,1
1668,39,1
1569,40,1
1512,41,1
1421,42,1
1221,43,1
988,44,1
546,45,1
182,46,1
8,47,1
2,0,1
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
0,8,1
0,9,1
0,10,1
19,11,1
96,12,1
368,13,1
871,14,1
1843,15,1
3490,16,1
2326,17,1
1909,18,1
1582,19,1
1231,20,1
1188,21,1
1180,22,1
1262,23,1
1319,24,1
