Num,Minute,DateType,day,Time,maxtemperature,mintemperature,temperatur,weather
0,0,3,2019-01-01,0:0,3,1,2.0,阴
0,1,3,2019-01-01,0:30,3,1,2.0,阴
0,2,3,2019-01-01,1:0,3,1,2.0,阴
0,3,3,2019-01-01,1:30,3,1,2.0,阴
0,4,3,2019-01-01,2:0,3,1,2.0,阴
0,5,3,2019-01-01,2:30,3,1,2.0,阴
0,6,3,2019-01-01,3:0,3,1,2.0,阴
0,7,3,2019-01-01,3:30,3,1,2.0,阴
4,8,3,2019-01-01,4:0,3,1,2.0,阴
1,9,3,2019-01-01,4:30,3,1,2.0,阴
0,10,3,2019-01-01,5:0,3,1,2.0,阴
171,11,3,2019-01-01,5:30,3,1,2.0,阴
657,12,3,2019-01-01,6:0,3,1,2.0,阴
467,13,3,2019-01-01,6:30,3,1,2.0,阴
514,14,3,2019-01-01,7:0,3,1,2.0,阴
622,15,3,2019-01-01,7:30,3,1,2.0,阴
864,16,3,2019-01-01,8:0,3,1,2.0,阴
1378,17,3,2019-01-01,8:30,3,1,2.0,阴
1432,18,3,2019-01-01,9:0,3,1,2.0,阴
1578,19,3,2019-01-01,9:30,3,1,2.0,阴
1731,20,3,2019-01-01,10:0,3,1,2.0,阴
1953,21,3,2019-01-01,10:30,3,1,2.0,阴
2331,22,3,2019-01-01,11:0,3,1,2.0,阴
2218,23,3,2019-01-01,11:30,3,1,2.0,阴
2686,24,3,2019-01-01,12:0,3,1,2.0,阴
2827,25,3,2019-01-01,12:30,3,1,2.0,阴
3107,26,3,2019-01-01,13:0,3,1,2.0,阴
3200,27,3,2019-01-01,13:30,3,1,2.0,阴
3608,28,3,2019-01-01,14:0,3,1,2.0,阴
3779,29,3,2019-01-01,14:30,3,1,2.0,阴
3755,30,3,2019-01-01,15:0,3,1,2.0,阴
4049,31,3,2019-01-01,15:30,3,1,2.0,阴
3764,32,3,2019-01-01,16:0,3,1,2.0,阴
3432,33,3,2019-01-01,16:30,3,1,2.0,阴
3448,34,3,2019-01-01,17:0,3,1,2.0,阴
3292,35,3,2019-01-01,17:30,3,1,2.0,阴
3060,36,3,2019-01-01,18:0,3,1,2.0,阴
2520,37,3,2019-01-01,18:30,3,1,2.0,阴
2380,38,3,2019-01-01,19:0,3,1,2.0,阴
2153,39,3,2019-01-01,19:30,3,1,2.0,阴
1918,40,3,2019-01-01,20:0,3,1,2.0,阴
1717,41,3,2019-01-01,20:30,3,1,2.0,阴
1454,42,3,2019-01-01,21:0,3,1,2.0,阴
1497,43,3,2019-01-01,21:30,3,1,2.0,阴
1185,44,3,2019-01-01,22:0,3,1,2.0,阴
622,45,3,2019-01-01,22:30,3,1,2.0,阴
317,46,3,2019-01-01,23:0,3,1,2.0,阴
69,47,3,2019-01-01,23:30,3,1,2.0,阴
0,0,2,2019-01-02,0:0,3,2,2.5,雨夹雪
0,1,2,2019-01-02,0:30,3,2,2.5,雨夹雪
0,2,2,2019-01-02,1:0,3,2,2.5,雨夹雪
0,3,2,2019-01-02,1:30,3,2,2.5,雨夹雪
0,4,2,2019-01-02,2:0,3,2,2.5,雨夹雪
0,5,2,2019-01-02,2:30,3,2,2.5,雨夹雪
0,6,2,2019-01-02,3:0,3,2,2.5,雨夹雪
0,7,2,2019-01-02,3:30,3,2,2.5,雨夹雪
0,8,2,2019-01-02,4:0,3,2,2.5,雨夹雪
0,9,2,2019-01-02,4:30,3,2,2.5,雨夹雪
0,10,2,2019-01-02,5:0,3,2,2.5,雨夹雪
18,11,2,2019-01-02,5:30,3,2,2.5,雨夹雪
192,12,2,2019-01-02,6:0,3,2,2.5,雨夹雪
513,13,2,2019-01-02,6:30,3,2,2.5,雨夹雪
947,14,2,2019-01-02,7:0,3,2,2.5,雨夹雪
1942,15,2,2019-01-02,7:30,3,2,2.5,雨夹雪
3514,16,2,2019-01-02,8:0,3,2,2.5,雨夹雪
3090,17,2,2019-01-02,8:30,3,2,2.5,雨夹雪
2271,18,2,2019-01-02,9:0,3,2,2.5,雨夹雪
1496,19,2,2019-01-02,9:30,3,2,2.5,雨夹雪
1196,20,2,2019-01-02,10:0,3,2,2.5,雨夹雪
1238,21,2,2019-01-02,10:30,3,2,2.5,雨夹雪
1198,22,2,2019-01-02,11:0,3,2,2.5,雨夹雪
1213,23,2,2019-01-02,11:30,3,2,2.5,雨夹雪
1175,24,2,2019-01-02,12:0,3,2,2.5,雨夹雪
1325,25,2,2019-01-02,12:30,3,2,2.5,雨夹雪
1290,26,2,2019-01-02,13:0,3,2,2.5,雨夹雪
1360,27,2,2019-01-02,13:30,3,2,2.5,雨夹雪
1471,28,2,2019-01-02,14:0,3,2,2.5,雨夹雪
1357,29,2,2019-01-02,14:30,3,2,2.5,雨夹雪
1342,30,2,2019-01-02,15:0,3,2,2.5,雨夹雪
1627,31,2,2019-01-02,15:30,3,2,2.5,雨夹雪
1487,32,2,2019-01-02,16:0,3,2,2.5,雨夹雪
1773,33,2,2019-01-02,16:30,3,2,2.5,雨夹雪
2202,34,2,2019-01-02,17:0,3,2,2.5,雨夹雪
3041,35,2,2019-01-02,17:30,3,2,2.5,雨夹雪
3128,36,2,2019-01-02,18:0,3,2,2.5,雨夹雪
2191,37,2,2019-01-02,18:30,3,2,2.5,雨夹雪
1634,38,2,2019-01-02,19:0,3,2,2.5,雨夹雪
1215,39,2,2019-01-02,19:30,3,2,2.5,雨夹雪
1108,40,2,2019-01-02,20:0,3,2,2.5,雨夹雪
1077,41,2,2019-01-02,20:30,3,2,2.5,雨夹雪
893,42,2,2019-01-02,21:0,3,2,2.5,雨夹雪
1393,43,2,2019-01-02,21:30,3,2,2.5,雨夹雪
961,44,2,2019-01-02,22:0,3,2,2.5,雨夹雪
357,45,2,2019-01-02,22:30,3,2,2.5,雨夹雪
109,46,2,2019-01-02,23:0,3,2,2.5,雨夹雪
0,47,2,2019-01-02,23:30,3,2,2.5,雨夹雪
1,0,2,2019-01-03,0:0,5,4,4.5,雨夹雪
1,1,2,2019-01-03,0:30,5,4,4.5,雨夹雪
0,2,2,2019-01-03,1:0,5,4,4.5,雨夹雪
0,3,2,2019-01-03,1:30,5,4,4.5,雨夹雪
0,4,2,2019-01-03,2:0,5,4,4.5,雨夹雪
0,5,2,2019-01-03,2:30,5,4,4.5,雨夹雪
0,6,2,2019-01-03,3:0,5,4,4.5,雨夹雪
0,7,2,2019-01-03,3:30,5,4,4.5,雨夹雪
0,8,2,2019-01-03,4:0,5,4,4.5,雨夹雪
30,9,2,2019-01-03,4:30,5,4,4.5,雨夹雪
1,10,2,2019-01-03,5:0,5,4,4.5,雨夹雪
18,11,2,2019-01-03,5:30,5,4,4.5,雨夹雪
161,12,2,2019-01-03,6:0,5,4,4.5,雨夹雪
373,13,2,2019-01-03,6:30,5,4,4.5,雨夹雪
719,14,2,2019-01-03,7:0,5,4,4.5,雨夹雪
1765,15,2,2019-01-03,7:30,5,4,4.5,雨夹雪
3202,16,2,2019-01-03,8:0,5,4,4.5,雨夹雪
3105,17,2,2019-01-03,8:30,5,4,4.5,雨夹雪
2094,18,2,2019-01-03,9:0,5,4,4.5,雨夹雪
1541,19,2,2019-01-03,9:30,5,4,4.5,雨夹雪
1182,20,2,2019-01-03,10:0,5,4,4.5,雨夹雪
1107,21,2,2019-01-03,10:30,5,4,4.5,雨夹雪
1060,22,2,2019-01-03,11:0,5,4,4.5,雨夹雪
1143,23,2,2019-01-03,11:30,5,4,4.5,雨夹雪
1048,24,2,2019-01-03,12:0,5,4,4.5,雨夹雪
1129,25,2,2019-01-03,12:30,5,4,4.5,雨夹雪
1137,26,2,2019-01-03,13:0,5,4,4.5,雨夹雪
1184,27,2,2019-01-03,13:30,5,4,4.5,雨夹雪
1196,28,2,2019-01-03,14:0,5,4,4.5,雨夹雪
1099,29,2,2019-01-03,14:30,5,4,4.5,雨夹雪
1258,30,2,2019-01-03,15:0,5,4,4.5,雨夹雪
1415,31,2,2019-01-03,15:30,5,4,4.5,雨夹雪
1400,32,2,2019-01-03,16:0,5,4,4.5,雨夹雪
1657,33,2,2019-01-03,16:30,5,4,4.5,雨夹雪
2051,34,2,2019-01-03,17:0,5,4,4.5,雨夹雪
2831,35,2,2019-01-03,17:30,5,4,4.5,雨夹雪
2773,36,2,2019-01-03,18:0,5,4,4.5,雨夹雪
1970,37,2,2019-01-03,18:30,5,4,4.5,雨夹雪
1587,38,2,2019-01-03,19:0,5,4,4.5,雨夹雪
1220,39,2,2019-01-03,19:30,5,4,4.5,雨夹雪
1093,40,2,2019-01-03,20:0,5,4,4.5,雨夹雪
1076,41,2,2019-01-03,20:30,5,4,4.5,雨夹雪
1004,42,2,2019-01-03,21:0,5,4,4.5,雨夹雪
1147,43,2,2019-01-03,21:30,5,4,4.5,雨夹雪
879,44,2,2019-01-03,22:0,5,4,4.5,雨夹雪
411,45,2,2019-01-03,22:30,5,4,4.5,雨夹雪
90,46,2,2019-01-03,23:0,5,4,4.5,雨夹雪
0,47,2,2019-01-03,23:30,5,4,4.5,雨夹雪
0,0,1,2019-01-04,0:0,8,5,6.5,中雨
0,1,1,2019-01-04,0:30,8,5,6.5,中雨
0,2,1,2019-01-04,1:0,8,5,6.5,中雨
0,3,1,2019-01-04,1:30,8,5,6.5,中雨
0,4,1,2019-01-04,2:0,8,5,6.5,中雨
0,5,1,2019-01-04,2:30,8,5,6.5,中雨
0,6,1,2019-01-04,3:0,8,5,6.5,中雨
0,7,1,2019-01-04,3:30,8,5,6.5,中雨
2,8,1,2019-01-04,4:0,8,5,6.5,中雨
0,9,1,2019-01-04,4:30,8,5,6.5,中雨
1,10,1,2019-01-04,5:0,8,5,6.5,中雨
5,11,1,2019-01-04,5:30,8,5,6.5,中雨
125,12,1,2019-01-04,6:0,8,5,6.5,中雨
335,13,1,2019-01-04,6:30,8,5,6.5,中雨
718,14,1,2019-01-04,7:0,8,5,6.5,中雨
1712,15,1,2019-01-04,7:30,8,5,6.5,中雨
3197,16,1,2019-01-04,8:0,8,5,6.5,中雨
3005,17,1,2019-01-04,8:30,8,5,6.5,中雨
2001,18,1,2019-01-04,9:0,8,5,6.5,中雨
1543,19,1,2019-01-04,9:30,8,5,6.5,中雨
1195,20,1,2019-01-04,10:0,8,5,6.5,中雨
1135,21,1,2019-01-04,10:30,8,5,6.5,中雨
1106,22,1,2019-01-04,11:0,8,5,6.5,中雨
