Num,Minute,DateType
0,0,3
0,1,3
0,2,3
0,3,3
0,4,3
5,5,3
165,6,3
401,7,3
797,8,3
932,9,3
1016,10,3
1067,11,3
1251,12,3
1312,13,3
1403,14,3
1465,15,3
1433,16,3
1529,17,3
1171,18,3
1066,19,3
1037,20,3
827,21,3
535,22,3
116,23,3
3,0,2
0,1,2
14,2,2
0,3,2
5,4,2
8,5,2
385,6,2
2000,7,2
3617,8,2
1346,9,2
868,10,2
825,11,2
875,12,2
1013,13,2
943,14,2
1085,15,2
1373,16,2
2599,17,2
2156,18,2
1114,19,2
1079,20,2
896,21,2
394,22,2
84,23,2
3,0,2
2,1,2
1,2,2
0,3,2
4,4,2
10,5,2
337,6,2
1885,7,2
3683,8,2
1409,9,2
901,10,2
780,11,2
907,12,2
978,13,2
962,14,2
963,15,2
1318,16,2
2429,17,2
2109,18,2
1119,19,2
1090,20,2
910,21,2
371,22,2
85,23,2
3,0,1
0,1,1
0,2,1
0,3,1
5,4,1
12,5,1
317,6,1
1809,7,1
3688,8,1
1429,9,1
904,10,1
774,11,1
842,12,1
948,13,1
981,14,1
1137,15,1
1700,16,1
2807,17,1
2265,18,1
1295,19,1
1214,20,1
1091,21,1
504,22,1
116,23,1
0,0,1
0,1,1
17,2,1
2,3,1
5,4,1
13,5,1
145,6,1
642,7,1
1468,8,1
1240,9,1
1120,10,1
1007,11,1
1257,12,1
1248,13,1
1220,14,1
1333,15,1
1585,16,1
1793,17,1
1356,18,1
902,19,1
986,20,1
909,21,1
533,22,1
87,23,1
9,0,1
0,1,1
7,2,1
0,3,1
1,4,1
11,5,1
147,6,1
611,7,1
1080,8,1
1079,9,1
1021,10,1
967,11,1
1158,12,1
1163,13,1
1305,14,1
1466,15,1
1598,16,1
1602,17,1
1172,18,1
957,19,1
895,20,1
766,21,1
409,22,1
65,23,1
0,0,1
0,1,1
0,2,1
0,3,1
6,4,1
4,5,1
391,6,1
1942,7,1
3725,8,1
1437,9,1
1003,10,1
856,11,1
885,12,1
953,13,1
836,14,1
950,15,1
1353,16,1
2537,17,1
2155,18,1
1109,19,1
1059,20,1
849,21,1
397,22,1
94,23,1
2,0,1
0,1,1
2,2,1
0,3,1
4,4,1
13,5,1
312,6,1
1996,7,1
3588,8,1
1529,9,1
920,10,1
847,11,1
911,12,1
1017,13,1
924,14,1
1095,15,1
1412,16,1
2563,17,1
2072,18,1
1258,19,1
1161,20,1
989,21,1
384,22,1
80,23,1
0,0,2
0,1,2
0,2,2
0,3,2
4,4,2
6,5,2
344,6,2
1905,7,2
3707,8,2
1444,9,2
873,10,2
883,11,2
970,12,2
952,13,2
875,14,2
996,15,2
1426,16,2
2627,17,2
2153,18,2
1136,19,2
1150,20,2
1008,21,2
497,22,2
87,23,2
12,0,2
6,1,2
5,2,2
3,3,2
4,4,2
9,5,2
352,6,2
1882,7,2
3773,8,2
1438,9,2
895,10,2
840,11,2
869,12,2
994,13,2
901,14,2
1061,15,2
1381,16,2
2550,17,2
2201,18,2
1266,19,2
1284,20,2
949,21,2
512,22,2
87,23,2
3,0,1
7,1,1
2,2,1
0,3,1
6,4,1
9,5,1
346,6,1
1887,7,1
3729,8,1
1477,9,1
859,10,1
785,11,1
900,12,1
973,13,1
1094,14,1
1390,15,1
1768,16,1
2765,17,1
2294,18,1
1261,19,1
1240,20,1
990,21,1
658,22,1
99,23,1
4,0,1
0,1,1
8,2,1
0,3,1
4,4,1
18,5,1
218,6,1
722,7,1
1402,8,1
1455,9,1
1194,10,1
1110,11,1
1297,12,1
1395,13,1
1333,14,1
1511,15,1
1665,16,1
1724,17,1
1258,18,1
921,19,1
1144,20,1
900,21,1
555,22,1
94,23,1
0,0,1
0,1,1
0,2,1
0,3,1
2,4,1
10,5,1
147,6,1
545,7,1
1087,8,1
1237,9,1
1153,10,1
1084,11,1
1225,12,1
1348,13,1
1270,14,1
1370,15,1
1428,16,1
1701,17,1
1292,18,1
1074,19,1
1113,20,1
858,21,1
473,22,1
80,23,1
4,0,1
0,1,1
4,2,1
0,3,1
2,4,1
12,5,1
331,6,1
1893,7,1
3814,8,1
