Num,Minute,DateType,day,Time,maxtemperature,mintemperature,temperature,weather
0,0,3,2019-01-01,0,3,1,2.0,阴
0,1,3,2019-01-01,1,3,1,2.0,阴
0,2,3,2019-01-01,2,3,1,2.0,阴
0,3,3,2019-01-01,3,3,1,2.0,阴
0,4,3,2019-01-01,4,3,1,2.0,阴
184,5,3,2019-01-01,5,3,1,2.0,阴
941,6,3,2019-01-01,6,3,1,2.0,阴
981,7,3,2019-01-01,7,3,1,2.0,阴
1755,8,3,2019-01-01,8,3,1,2.0,阴
2398,9,3,2019-01-01,9,3,1,2.0,阴
3582,10,3,2019-01-01,10,3,1,2.0,阴
4445,11,3,2019-01-01,11,3,1,2.0,阴
4898,12,3,2019-01-01,12,3,1,2.0,阴
5709,13,3,2019-01-01,13,3,1,2.0,阴
6310,14,3,2019-01-01,14,3,1,2.0,阴
6750,15,3,2019-01-01,15,3,1,2.0,阴
6336,16,3,2019-01-01,16,3,1,2.0,阴
5955,17,3,2019-01-01,17,3,1,2.0,阴
4472,18,3,2019-01-01,18,3,1,2.0,阴
3449,19,3,2019-01-01,19,3,1,2.0,阴
2849,20,3,2019-01-01,20,3,1,2.0,阴
2201,21,3,2019-01-01,21,3,1,2.0,阴
1453,22,3,2019-01-01,22,3,1,2.0,阴
295,23,3,2019-01-01,23,3,1,2.0,阴
7,0,2,2019-01-02,0,3,2,2.5,雨夹雪
0,1,2,2019-01-02,1,3,2,2.5,雨夹雪
0,2,2,2019-01-02,2,3,2,2.5,雨夹雪
0,3,2,2019-01-02,3,3,2,2.5,雨夹雪
3,4,2,2019-01-02,4,3,2,2.5,雨夹雪
13,5,2,2019-01-02,5,3,2,2.5,雨夹雪
546,6,2,2019-01-02,6,3,2,2.5,雨夹雪
2262,7,2,2019-01-02,7,3,2,2.5,雨夹雪
5700,8,2,2019-01-02,8,3,2,2.5,雨夹雪
2894,9,2,2019-01-02,9,3,2,2.5,雨夹雪
2188,10,2,2019-01-02,10,3,2,2.5,雨夹雪
2135,11,2,2019-01-02,11,3,2,2.5,雨夹雪
2346,12,2,2019-01-02,12,3,2,2.5,雨夹雪
2382,13,2,2019-01-02,13,3,2,2.5,雨夹雪
2557,14,2,2019-01-02,14,3,2,2.5,雨夹雪
2818,15,2,2019-01-02,15,3,2,2.5,雨夹雪
3090,16,2,2019-01-02,16,3,2,2.5,雨夹雪
5404,17,2,2019-01-02,17,3,2,2.5,雨夹雪
3683,18,2,2019-01-02,18,3,2,2.5,雨夹雪
2080,19,2,2019-01-02,19,3,2,2.5,雨夹雪
