NumberOfTrips,NumberOfPeople
1,21143
2,13269
3,8173
4,6268
5,4934
6,3824
7,3085
8,2527
9,2009
10,1649
11,1347
12,1203
13,885
14,834
15,753
16,669
17,618
18,551
19,464
20,431
21,384
22,354
23,357
24,328
25,239
26,285
27,230
28,259
29,215
30,191
31,196
32,176
33,169
34,174
35,153
36,172
37,152
38,131
39,122
40,133
41,106
42,108
43,126
44,94
45,106
46,108
47,98
48,78
49,102
50,71
51,65
52,73
53,69
54,60
55,71
56,60
57,48
58,52
59,59
60,50
61,57
62,49
63,47
64,44
65,55
66,58
67,43
68,59
69,42
70,47
71,29
72,44
73,40
74,38
75,32
76,33
77,32
78,36
79,23
80,41
81,25
82,31
83,44
84,26
85,35
86,30
87,24
88,32
89,23
90,32
91,30
92,24
93,23
94,26
95,17
96,24
97,21
98,17
99,16
100,22
101,21
102,21
103,23
104,17
105,19
106,26
107,19
108,13
109,16
110,16
111,11
112,20
113,13
114,15
115,12
116,9
117,11
118,13
119,13
120,15
121,14
122,15
123,17
124,17
125,11
126,13
127,13
128,14
129,11
130,13
131,14
132,6
133,17
134,12
135,12
136,7
137,10
138,9
139,5
140,10
141,12
142,9
143,13
144,11
145,6
146,8
147,7
148,5
149,14
150,16
151,9
152,8
153,9
154,7
155,9
156,3
157,6
158,11
159,10
160,8
161,7
162,5
163,4
164,9
165,10
166,5
167,6
168,8
169,4
170,4
171,4
172,8
173,4
174,2
175,6
176,8
177,4
178,7
179,5
180,3
181,3
182,1
183,4
184,1
185,3
186,5
187,3
188,1
189,2
190,3
191,2
192,3
193,8
194,5
195,2
196,6
197,2
198,3
199,3
200,3
201,3
202,4
203,3
204,4
206,3
207,2
208,2
209,1
211,3
212,3
213,3
214,3
215,2
216,1
217,2
218,2
220,1
222,1
223,1
225,2
228,4
230,1
231,1
233,2
235,1
236,1
237,1
238,3
243,3
244,2
245,1
250,2
252,1
253,1
254,1
255,2
257,1
259,1
260,1
261,1
263,1
267,2
269,2
270,1
271,4
275,1
284,1
286,1
287,1
288,1
294,1
304,1
314,1
316,2
322,1
