Num,Minute,DateType,day,Time,maxtemperature,mintemperature,temperatur,weather
0,0,3,2019-01-01,0:0,3,1,2.0,阴
0,1,3,2019-01-01,0:30,3,1,2.0,阴
0,2,3,2019-01-01,1:0,3,1,2.0,阴
0,3,3,2019-01-01,1:30,3,1,2.0,阴
0,4,3,2019-01-01,2:0,3,1,2.0,阴
0,5,3,2019-01-01,2:30,3,1,2.0,阴
0,6,3,2019-01-01,3:0,3,1,2.0,阴
0,7,3,2019-01-01,3:30,3,1,2.0,阴
0,8,3,2019-01-01,4:0,3,1,2.0,阴
0,9,3,2019-01-01,4:30,3,1,2.0,阴
0,10,3,2019-01-01,5:0,3,1,2.0,阴
0,11,3,2019-01-01,5:30,3,1,2.0,阴
33,12,3,2019-01-01,6:0,3,1,2.0,阴
64,13,3,2019-01-01,6:30,3,1,2.0,阴
148,14,3,2019-01-01,7:0,3,1,2.0,阴
204,15,3,2019-01-01,7:30,3,1,2.0,阴
292,16,3,2019-01-01,8:0,3,1,2.0,阴
328,17,3,2019-01-01,8:30,3,1,2.0,阴
241,18,3,2019-01-01,9:0,3,1,2.0,阴
248,19,3,2019-01-01,9:30,3,1,2.0,阴
216,20,3,2019-01-01,10:0,3,1,2.0,阴
231,21,3,2019-01-01,10:30,3,1,2.0,阴
252,22,3,2019-01-01,11:0,3,1,2.0,阴
279,23,3,2019-01-01,11:30,3,1,2.0,阴
266,24,3,2019-01-01,12:0,3,1,2.0,阴
312,25,3,2019-01-01,12:30,3,1,2.0,阴
297,26,3,2019-01-01,13:0,3,1,2.0,阴
293,27,3,2019-01-01,13:30,3,1,2.0,阴
308,28,3,2019-01-01,14:0,3,1,2.0,阴
337,29,3,2019-01-01,14:30,3,1,2.0,阴
347,30,3,2019-01-01,15:0,3,1,2.0,阴
291,31,3,2019-01-01,15:30,3,1,2.0,阴
337,32,3,2019-01-01,16:0,3,1,2.0,阴
388,33,3,2019-01-01,16:30,3,1,2.0,阴
400,34,3,2019-01-01,17:0,3,1,2.0,阴
429,35,3,2019-01-01,17:30,3,1,2.0,阴
334,36,3,2019-01-01,18:0,3,1,2.0,阴
359,37,3,2019-01-01,18:30,3,1,2.0,阴
287,38,3,2019-01-01,19:0,3,1,2.0,阴
393,39,3,2019-01-01,19:30,3,1,2.0,阴
344,40,3,2019-01-01,20:0,3,1,2.0,阴
279,41,3,2019-01-01,20:30,3,1,2.0,阴
273,42,3,2019-01-01,21:0,3,1,2.0,阴
233,43,3,2019-01-01,21:30,3,1,2.0,阴
183,44,3,2019-01-01,22:0,3,1,2.0,阴
169,45,3,2019-01-01,22:30,3,1,2.0,阴
65,46,3,2019-01-01,23:0,3,1,2.0,阴
21,47,3,2019-01-01,23:30,3,1,2.0,阴
2,0,2,2019-01-02,0:0,3,2,2.5,雨夹雪
0,1,2,2019-01-02,0:30,3,2,2.5,雨夹雪
0,2,2,2019-01-02,1:0,3,2,2.5,雨夹雪
0,3,2,2019-01-02,1:30,3,2,2.5,雨夹雪
0,4,2,2019-01-02,2:0,3,2,2.5,雨夹雪
0,5,2,2019-01-02,2:30,3,2,2.5,雨夹雪
0,6,2,2019-01-02,3:0,3,2,2.5,雨夹雪
0,7,2,2019-01-02,3:30,3,2,2.5,雨夹雪
0,8,2,2019-01-02,4:0,3,2,2.5,雨夹雪
0,9,2,2019-01-02,4:30,3,2,2.5,雨夹雪
0,10,2,2019-01-02,5:0,3,2,2.5,雨夹雪
0,11,2,2019-01-02,5:30,3,2,2.5,雨夹雪
87,12,2,2019-01-02,6:0,3,2,2.5,雨夹雪
198,13,2,2019-01-02,6:30,3,2,2.5,雨夹雪
410,14,2,2019-01-02,7:0,3,2,2.5,雨夹雪
843,15,2,2019-01-02,7:30,3,2,2.5,雨夹雪
1396,16,2,2019-01-02,8:0,3,2,2.5,雨夹雪
1501,17,2,2019-01-02,8:30,3,2,2.5,雨夹雪
578,18,2,2019-01-02,9:0,3,2,2.5,雨夹雪
389,19,2,2019-01-02,9:30,3,2,2.5,雨夹雪
279,20,2,2019-01-02,10:0,3,2,2.5,雨夹雪
278,21,2,2019-01-02,10:30,3,2,2.5,雨夹雪
251,22,2,2019-01-02,11:0,3,2,2.5,雨夹雪
324,23,2,2019-01-02,11:30,3,2,2.5,雨夹雪
291,24,2,2019-01-02,12:0,3,2,2.5,雨夹雪
309,25,2,2019-01-02,12:30,3,2,2.5,雨夹雪
324,26,2,2019-01-02,13:0,3,2,2.5,雨夹雪
323,27,2,2019-01-02,13:30,3,2,2.5,雨夹雪
314,28,2,2019-01-02,14:0,3,2,2.5,雨夹雪
315,29,2,2019-01-02,14:30,3,2,2.5,雨夹雪
295,30,2,2019-01-02,15:0,3,2,2.5,雨夹雪
403,31,2,2019-01-02,15:30,3,2,2.5,雨夹雪
308,32,2,2019-01-02,16:0,3,2,2.5,雨夹雪
409,33,2,2019-01-02,16:30,3,2,2.5,雨夹雪
527,34,2,2019-01-02,17:0,3,2,2.5,雨夹雪
1212,35,2,2019-01-02,17:30,3,2,2.5,雨夹雪
846,36,2,2019-01-02,18:0,3,2,2.5,雨夹雪
563,37,2,2019-01-02,18:30,3,2,2.5,雨夹雪
425,38,2,2019-01-02,19:0,3,2,2.5,雨夹雪
397,39,2,2019-01-02,19:30,3,2,2.5,雨夹雪
342,40,2,2019-01-02,20:0,3,2,2.5,雨夹雪
296,41,2,2019-01-02,20:30,3,2,2.5,雨夹雪
260,42,2,2019-01-02,21:0,3,2,2.5,雨夹雪
230,43,2,2019-01-02,21:30,3,2,2.5,雨夹雪
163,44,2,2019-01-02,22:0,3,2,2.5,雨夹雪
146,45,2,2019-01-02,22:30,3,2,2.5,雨夹雪
41,46,2,2019-01-02,23:0,3,2,2.5,雨夹雪
7,47,2,2019-01-02,23:30,3,2,2.5,雨夹雪
2,0,2,2019-01-03,0:0,5,4,4.5,雨夹雪
0,1,2,2019-01-03,0:30,5,4,4.5,雨夹雪
3,2,2,2019-01-03,1:0,5,4,4.5,雨夹雪
1,3,2,2019-01-03,1:30,5,4,4.5,雨夹雪
0,4,2,2019-01-03,2:0,5,4,4.5,雨夹雪
0,5,2,2019-01-03,2:30,5,4,4.5,雨夹雪
0,6,2,2019-01-03,3:0,5,4,4.5,雨夹雪
0,7,2,2019-01-03,3:30,5,4,4.5,雨夹雪
0,8,2,2019-01-03,4:0,5,4,4.5,雨夹雪
2,9,2,2019-01-03,4:30,5,4,4.5,雨夹雪
0,10,2,2019-01-03,5:0,5,4,4.5,雨夹雪
6,11,2,2019-01-03,5:30,5,4,4.5,雨夹雪
58,12,2,2019-01-03,6:0,5,4,4.5,雨夹雪
175,13,2,2019-01-03,6:30,5,4,4.5,雨夹雪
356,14,2,2019-01-03,7:0,5,4,4.5,雨夹雪
828,15,2,2019-01-03,7:30,5,4,4.5,雨夹雪
1378,16,2,2019-01-03,8:0,5,4,4.5,雨夹雪
1507,17,2,2019-01-03,8:30,5,4,4.5,雨夹雪
566,18,2,2019-01-03,9:0,5,4,4.5,雨夹雪
356,19,2,2019-01-03,9:30,5,4,4.5,雨夹雪
302,20,2,2019-01-03,10:0,5,4,4.5,雨夹雪
217,21,2,2019-01-03,10:30,5,4,4.5,雨夹雪
275,22,2,2019-01-03,11:0,5,4,4.5,雨夹雪
259,23,2,2019-01-03,11:30,5,4,4.5,雨夹雪
266,24,2,2019-01-03,12:0,5,4,4.5,雨夹雪
271,25,2,2019-01-03,12:30,5,4,4.5,雨夹雪
316,26,2,2019-01-03,13:0,5,4,4.5,雨夹雪
351,27,2,2019-01-03,13:30,5,4,4.5,雨夹雪
311,28,2,2019-01-03,14:0,5,4,4.5,雨夹雪
276,29,2,2019-01-03,14:30,5,4,4.5,雨夹雪
358,30,2,2019-01-03,15:0,5,4,4.5,雨夹雪
361,31,2,2019-01-03,15:30,5,4,4.5,雨夹雪
349,32,2,2019-01-03,16:0,5,4,4.5,雨夹雪
415,33,2,2019-01-03,16:30,5,4,4.5,雨夹雪
547,34,2,2019-01-03,17:0,5,4,4.5,雨夹雪
1288,35,2,2019-01-03,17:30,5,4,4.5,雨夹雪
882,36,2,2019-01-03,18:0,5,4,4.5,雨夹雪
621,37,2,2019-01-03,18:30,5,4,4.5,雨夹雪
411,38,2,2019-01-03,19:0,5,4,4.5,雨夹雪
415,39,2,2019-01-03,19:30,5,4,4.5,雨夹雪
401,40,2,2019-01-03,20:0,5,4,4.5,雨夹雪
334,41,2,2019-01-03,20:30,5,4,4.5,雨夹雪
268,42,2,2019-01-03,21:0,5,4,4.5,雨夹雪
243,43,2,2019-01-03,21:30,5,4,4.5,雨夹雪
189,44,2,2019-01-03,22:0,5,4,4.5,雨夹雪
138,45,2,2019-01-03,22:30,5,4,4.5,雨夹雪
69,46,2,2019-01-03,23:0,5,4,4.5,雨夹雪
8,47,2,2019-01-03,23:30,5,4,4.5,雨夹雪
0,0,1,2019-01-04,0:0,8,5,6.5,中雨
0,1,1,2019-01-04,0:30,8,5,6.5,中雨
0,2,1,2019-01-04,1:0,8,5,6.5,中雨
0,3,1,2019-01-04,1:30,8,5,6.5,中雨
0,4,1,2019-01-04,2:0,8,5,6.5,中雨
0,5,1,2019-01-04,2:30,8,5,6.5,中雨
0,6,1,2019-01-04,3:0,8,5,6.5,中雨
0,7,1,2019-01-04,3:30,8,5,6.5,中雨
0,8,1,2019-01-04,4:0,8,5,6.5,中雨
0,9,1,2019-01-04,4:30,8,5,6.5,中雨
0,10,1,2019-01-04,5:0,8,5,6.5,中雨
7,11,1,2019-01-04,5:30,8,5,6.5,中雨
71,12,1,2019-01-04,6:0,8,5,6.5,中雨
156,13,1,2019-01-04,6:30,8,5,6.5,中雨
377,14,1,2019-01-04,7:0,8,5,6.5,中雨
813,15,1,2019-01-04,7:30,8,5,6.5,中雨
1398,16,1,2019-01-04,8:0,8,5,6.5,中雨
1546,17,1,2019-01-04,8:30,8,5,6.5,中雨
572,18,1,2019-01-04,9:0,8,5,6.5,中雨
333,19,1,2019-01-04,9:30,8,5,6.5,中雨
263,20,1,2019-01-04,10:0,8,5,6.5,中雨
282,21,1,2019-01-04,10:30,8,5,6.5,中雨
214,22,1,2019-01-04,11:0,8,5,6.5,中雨
272,23,1,2019-01-04,11:30,8,5,6.5,中雨
260,24,1,2019-01-04,12:0,8,5,6.5,中雨
259,25,1,2019-01-04,12:30,8,5,6.5,中雨
