Num,Minute,DateType,day,Time,maxtemperature,mintemperature,temperature,weather
0,0,3,2019-01-01,0:0,3,1,2.0,阴
0,1,3,2019-01-01,0:5,3,1,2.0,阴
0,2,3,2019-01-01,0:10,3,1,2.0,阴
0,3,3,2019-01-01,0:15,3,1,2.0,阴
0,4,3,2019-01-01,0:20,3,1,2.0,阴
0,5,3,2019-01-01,0:25,3,1,2.0,阴
0,6,3,2019-01-01,0:30,3,1,2.0,阴
0,7,3,2019-01-01,0:35,3,1,2.0,阴
0,8,3,2019-01-01,0:40,3,1,2.0,阴
0,9,3,2019-01-01,0:45,3,1,2.0,阴
0,10,3,2019-01-01,0:50,3,1,2.0,阴
0,11,3,2019-01-01,0:55,3,1,2.0,阴
0,12,3,2019-01-01,1:0,3,1,2.0,阴
0,13,3,2019-01-01,1:5,3,1,2.0,阴
0,14,3,2019-01-01,1:10,3,1,2.0,阴
0,15,3,2019-01-01,1:15,3,1,2.0,阴
0,16,3,2019-01-01,1:20,3,1,2.0,阴
0,17,3,2019-01-01,1:25,3,1,2.0,阴
0,18,3,2019-01-01,1:30,3,1,2.0,阴
0,19,3,2019-01-01,1:35,3,1,2.0,阴
0,20,3,2019-01-01,1:40,3,1,2.0,阴
0,21,3,2019-01-01,1:45,3,1,2.0,阴
0,22,3,2019-01-01,1:50,3,1,2.0,阴
0,23,3,2019-01-01,1:55,3,1,2.0,阴
0,24,3,2019-01-01,2:0,3,1,2.0,阴
2,25,3,2019-01-01,2:5,3,1,2.0,阴
0,26,3,2019-01-01,2:10,3,1,2.0,阴
0,27,3,2019-01-01,2:15,3,1,2.0,阴
0,28,3,2019-01-01,2:20,3,1,2.0,阴
0,29,3,2019-01-01,2:25,3,1,2.0,阴
0,30,3,2019-01-01,2:30,3,1,2.0,阴
1,31,3,2019-01-01,2:35,3,1,2.0,阴
0,32,3,2019-01-01,2:40,3,1,2.0,阴
0,33,3,2019-01-01,2:45,3,1,2.0,阴
0,34,3,2019-01-01,2:50,3,1,2.0,阴
0,35,3,2019-01-01,2:55,3,1,2.0,阴
1,36,3,2019-01-01,3:0,3,1,2.0,阴
1,37,3,2019-01-01,3:5,3,1,2.0,阴
0,38,3,2019-01-01,3:10,3,1,2.0,阴
0,39,3,2019-01-01,3:15,3,1,2.0,阴
0,40,3,2019-01-01,3:20,3,1,2.0,阴
0,41,3,2019-01-01,3:25,3,1,2.0,阴
0,42,3,2019-01-01,3:30,3,1,2.0,阴
0,43,3,2019-01-01,3:35,3,1,2.0,阴
0,44,3,2019-01-01,3:40,3,1,2.0,阴
0,45,3,2019-01-01,3:45,3,1,2.0,阴
0,46,3,2019-01-01,3:50,3,1,2.0,阴
0,47,3,2019-01-01,3:55,3,1,2.0,阴
0,48,3,2019-01-01,4:0,3,1,2.0,阴
0,49,3,2019-01-01,4:5,3,1,2.0,阴
0,50,3,2019-01-01,4:10,3,1,2.0,阴
0,51,3,2019-01-01,4:15,3,1,2.0,阴
0,52,3,2019-01-01,4:20,3,1,2.0,阴
1,53,3,2019-01-01,4:25,3,1,2.0,阴
1,54,3,2019-01-01,4:30,3,1,2.0,阴
0,55,3,2019-01-01,4:35,3,1,2.0,阴
0,56,3,2019-01-01,4:40,3,1,2.0,阴
0,57,3,2019-01-01,4:45,3,1,2.0,阴
0,58,3,2019-01-01,4:50,3,1,2.0,阴
0,59,3,2019-01-01,4:55,3,1,2.0,阴
0,60,3,2019-01-01,5:0,3,1,2.0,阴
0,61,3,2019-01-01,5:5,3,1,2.0,阴
0,62,3,2019-01-01,5:10,3,1,2.0,阴
0,63,3,2019-01-01,5:15,3,1,2.0,阴
0,64,3,2019-01-01,5:20,3,1,2.0,阴
0,65,3,2019-01-01,5:25,3,1,2.0,阴
2,66,3,2019-01-01,5:30,3,1,2.0,阴
2,67,3,2019-01-01,5:35,3,1,2.0,阴
2,68,3,2019-01-01,5:40,3,1,2.0,阴
1,69,3,2019-01-01,5:45,3,1,2.0,阴
3,70,3,2019-01-01,5:50,3,1,2.0,阴
6,71,3,2019-01-01,5:55,3,1,2.0,阴
1,72,3,2019-01-01,6:0,3,1,2.0,阴
4,73,3,2019-01-01,6:5,3,1,2.0,阴
7,74,3,2019-01-01,6:10,3,1,2.0,阴
2,75,3,2019-01-01,6:15,3,1,2.0,阴
3,76,3,2019-01-01,6:20,3,1,2.0,阴
3,77,3,2019-01-01,6:25,3,1,2.0,阴
5,78,3,2019-01-01,6:30,3,1,2.0,阴
6,79,3,2019-01-01,6:35,3,1,2.0,阴
12,80,3,2019-01-01,6:40,3,1,2.0,阴
13,81,3,2019-01-01,6:45,3,1,2.0,阴
10,82,3,2019-01-01,6:50,3,1,2.0,阴
9,83,3,2019-01-01,6:55,3,1,2.0,阴
7,84,3,2019-01-01,7:0,3,1,2.0,阴
15,85,3,2019-01-01,7:5,3,1,2.0,阴
13,86,3,2019-01-01,7:10,3,1,2.0,阴
11,87,3,2019-01-01,7:15,3,1,2.0,阴
19,88,3,2019-01-01,7:20,3,1,2.0,阴
10,89,3,2019-01-01,7:25,3,1,2.0,阴
14,90,3,2019-01-01,7:30,3,1,2.0,阴
19,91,3,2019-01-01,7:35,3,1,2.0,阴
34,92,3,2019-01-01,7:40,3,1,2.0,阴
33,93,3,2019-01-01,7:45,3,1,2.0,阴
17,94,3,2019-01-01,7:50,3,1,2.0,阴
11,95,3,2019-01-01,7:55,3,1,2.0,阴
20,96,3,2019-01-01,8:0,3,1,2.0,阴
39,97,3,2019-01-01,8:5,3,1,2.0,阴
40,98,3,2019-01-01,8:10,3,1,2.0,阴
37,99,3,2019-01-01,8:15,3,1,2.0,阴
36,100,3,2019-01-01,8:20,3,1,2.0,阴
41,101,3,2019-01-01,8:25,3,1,2.0,阴
27,102,3,2019-01-01,8:30,3,1,2.0,阴
35,103,3,2019-01-01,8:35,3,1,2.0,阴
91,104,3,2019-01-01,8:40,3,1,2.0,阴
35,105,3,2019-01-01,8:45,3,1,2.0,阴
70,106,3,2019-01-01,8:50,3,1,2.0,阴
47,107,3,2019-01-01,8:55,3,1,2.0,阴
91,108,3,2019-01-01,9:0,3,1,2.0,阴
83,109,3,2019-01-01,9:5,3,1,2.0,阴
57,110,3,2019-01-01,9:10,3,1,2.0,阴
83,111,3,2019-01-01,9:15,3,1,2.0,阴
117,112,3,2019-01-01,9:20,3,1,2.0,阴
95,113,3,2019-01-01,9:25,3,1,2.0,阴
65,114,3,2019-01-01,9:30,3,1,2.0,阴
67,115,3,2019-01-01,9:35,3,1,2.0,阴
57,116,3,2019-01-01,9:40,3,1,2.0,阴
132,117,3,2019-01-01,9:45,3,1,2.0,阴
70,118,3,2019-01-01,9:50,3,1,2.0,阴
40,119,3,2019-01-01,9:55,3,1,2.0,阴
72,120,3,2019-01-01,10:0,3,1,2.0,阴
52,121,3,2019-01-01,10:5,3,1,2.0,阴
71,122,3,2019-01-01,10:10,3,1,2.0,阴
59,123,3,2019-01-01,10:15,3,1,2.0,阴
85,124,3,2019-01-01,10:20,3,1,2.0,阴
84,125,3,2019-01-01,10:25,3,1,2.0,阴
36,126,3,2019-01-01,10:30,3,1,2.0,阴
62,127,3,2019-01-01,10:35,3,1,2.0,阴
121,128,3,2019-01-01,10:40,3,1,2.0,阴
98,129,3,2019-01-01,10:45,3,1,2.0,阴
97,130,3,2019-01-01,10:50,3,1,2.0,阴
94,131,3,2019-01-01,10:55,3,1,2.0,阴
94,132,3,2019-01-01,11:0,3,1,2.0,阴
112,133,3,2019-01-01,11:5,3,1,2.0,阴
94,134,3,2019-01-01,11:10,3,1,2.0,阴
87,135,3,2019-01-01,11:15,3,1,2.0,阴
66,136,3,2019-01-01,11:20,3,1,2.0,阴
115,137,3,2019-01-01,11:25,3,1,2.0,阴
112,138,3,2019-01-01,11:30,3,1,2.0,阴
109,139,3,2019-01-01,11:35,3,1,2.0,阴
98,140,3,2019-01-01,11:40,3,1,2.0,阴
144,141,3,2019-01-01,11:45,3,1,2.0,阴
101,142,3,2019-01-01,11:50,3,1,2.0,阴
89,143,3,2019-01-01,11:55,3,1,2.0,阴
114,144,3,2019-01-01,12:0,3,1,2.0,阴
156,145,3,2019-01-01,12:5,3,1,2.0,阴
107,146,3,2019-01-01,12:10,3,1,2.0,阴
94,147,3,2019-01-01,12:15,3,1,2.0,阴
120,148,3,2019-01-01,12:20,3,1,2.0,阴
140,149,3,2019-01-01,12:25,3,1,2.0,阴
