InStationName,InTime,OutStationName,OutTime,Price,DateType,origin,destination
Sta86,2020-03-24 08,Sta107,2020-03-24 08,400,1,0,1
Sta86,2020-04-14 07,Sta107,2020-04-14 08,400,1,0,1
Sta107,2020-04-14 19,Sta86,2020-04-14 19,400,1,1,0
Sta86,2020-04-15 07,Sta107,2020-04-15 08,400,1,0,1
Sta107,2020-04-24 18,Sta86,2020-04-24 18,400,1,1,0
Sta86,2020-04-29 07,Sta107,2020-04-29 07,400,1,0,1
Sta86,2020-04-30 07,Sta107,2020-04-30 07,400,1,0,1
Sta56,2020-04-30 16,Sta86,2020-04-30 16,300,1,2,0
Sta86,2020-05-06 07,Sta107,2020-05-06 08,400,1,0,1
Sta107,2020-05-06 18,Sta127,2020-05-06 19,300,1,1,2
Sta86,2020-05-07 07,Sta107,2020-05-07 07,400,1,0,1
Sta107,2020-05-07 18,Sta47,2020-05-07 19,200,1,1,2
Sta86,2020-05-08 07,Sta107,2020-05-08 08,400,1,0,1
Sta107,2020-05-08 18,Sta86,2020-05-08 18,400,1,1,0
Sta86,2020-05-09 07,Sta107,2020-05-09 08,400,2,0,1
Sta56,2020-05-09 15,Sta86,2020-05-09 16,300,2,2,0
Sta86,2020-05-11 07,Sta107,2020-05-11 08,400,1,0,1
Sta86,2020-05-12 07,Sta107,2020-05-12 08,400,1,0,1
Sta107,2020-05-12 18,Sta86,2020-05-12 18,400,1,1,0
Sta86,2020-05-13 07,Sta107,2020-05-13 08,400,1,0,1
Sta107,2020-05-13 17,Sta86,2020-05-13 18,400,1,1,0
Sta86,2020-05-14 07,Sta107,2020-05-14 08,400,1,0,1
Sta123,2020-05-14 16,Sta159,2020-05-14 16,200,1,2,2
Sta159,2020-05-14 17,Sta107,2020-05-14 17,200,1,2,1
Sta107,2020-05-14 18,Sta86,2020-05-14 18,400,1,1,0
Sta86,2020-05-15 07,Sta107,2020-05-15 08,400,1,0,1
Sta107,2020-05-15 18,Sta86,2020-05-15 18,400,1,1,0
Sta86,2020-05-17 08,Sta123,2020-05-17 08,300,2,0,2
Sta123,2020-05-17 09,Sta86,2020-05-17 10,300,2,2,0
Sta86,2020-05-18 07,Sta107,2020-05-18 08,400,1,0,1
Sta86,2020-05-19 07,Sta107,2020-05-19 08,400,1,0,1
Sta107,2020-05-19 18,Sta86,2020-05-19 18,400,1,1,0
