UserID,HomeLine,HomeStation,WorkLine,WorkStation
0001a9cfb6e4dfb4aed3050ff8e5231e,1,Sta86,1,Sta107
0006366a03e947e45df7082b8546afb7,1,Sta70,1,Sta20
0009ada42a1fa9771a14be4364f664df,1,Sta56,1,Sta157
000d5ee5c2a5b5543e41de54651fbc14,1,Sta56,5,Sta69
003b4cd5ecadb66f13f9ef6778b5153f,1,Sta23,1,Sta152
005350c55373e74c388b42fbf2e41242,1,Sta74,,
005bf7cc10638e90557ccedd72fab34c,1,Sta115,3,Sta40
006c62681cfd3bb5c3d04a63dd6febc2,3,Sta142,,
0078de83bfa04fa2075267fe113b3e60,5,Sta16,3,Sta138
00998dfd86253329c096046b12490025,3,Sta141,3,Sta138
00e002300138c71d6d2c735fe22ae8f3,2,Sta76,2,Sta78
00e400e7e8b9227c57bb83f4fdad68d5,3,Sta22,3,Sta40
00f2520b4206576cb9e939a8e99f0728,2,Sta48,2,Sta9
0116b10dbd31d2c8ad28f19d695944f9,1,Sta89,1,Sta20
0136534c3ba1a2c02d61ec12a7cafb0f,1,Sta89,2,Sta129
01419c3de5ee8530f6b07adc41c78f6b,3,Sta126,1,Sta120
01452c0c0c8bae9e5c43f8dd3dd9f726,3,Sta39,3,Sta141
0147204cec17401c6a4169876b321940,3,Sta126,5,Sta69
01516dc6216b359c1e80e8fc6f4acae8,1,Sta25,3,Sta40
01a2df8e242bdc6ead8011f9d7471391,1,Sta135,1,Sta20
01a6b0a44f9fb40b755b8a8a63daab15,1,Sta74,1,Sta89
01bb1ca7dde48ccd25d59b0dedd6a963,2,Sta127,3,Sta67
01caa06200854b170e54abe0aaaed15c,1,Sta146,1,Sta46
01e2cfca597ccf5371e54a6eabea55cf,2,Sta47,,
01e2f6f142ca4ab1060f998ce0a89eab,1,Sta149,1,Sta89
01fb5ac3df4766be304f9966752b6c77,1,Sta89,3,Sta142
020e4072f9a3da443bb1f017151b5e29,2,Sta127,1,Sta25
0219d3b7cefbf89e4a2bfd0dad729bad,1,Sta122,,
0234b5fb67299688143bd9c746cbe285,1,Sta160,1,Sta88
026ec9b45d3d4bdc5297231d32c0f5dc,1,Sta154,1,Sta108
0278033333515a8ce8de610b0b60385d,1,Sta80,1,Sta1
027ad094676c1611db7e6ffe9a8504b5,3,Sta138,1,Sta115
0298358906625d046a9faa553121906f,4,Sta165,,
02ab732e2892c9e6ea9cc4c0da7ef527,1,Sta7,1,Sta114
02ac2bb32c740362ba6f50a088146f01,1,Sta17,1,Sta95
02b59801ff6eed21adb0ffc66bb2227f,1,Sta108,1,Sta159
02d6260c8fdc114c9a38e00d96fad020,1,Sta95,1,Sta107
