Time,DiffConfirmedCount,DateType,InTime,OutTime,origin,destination,Trip
2020-01-01 06,0.0,3.0,,,,,
2020-01-01 07,0.0,3.0,,,,,
2020-01-01 08,0.0,3.0,,,,,
2020-01-01 09,0.0,3.0,,,,,
2020-01-01 10,0.0,3.0,,,,,
2020-01-01 11,0.0,3.0,,,,,
2020-01-01 12,0.0,3.0,,,,,
2020-01-01 13,0.0,3.0,,,,,
2020-01-01 14,0.0,3.0,,,,,
2020-01-01 15,0.0,3.0,,,,,
2020-01-01 16,0.0,3.0,,,,,
2020-01-01 17,0.0,3.0,,,,,
2020-01-01 18,0.0,3.0,,,,,
2020-01-01 19,0.0,3.0,,,,,
2020-01-01 20,0.0,3.0,,,,,
2020-01-01 21,0.0,3.0,,,,,
2020-01-01 22,0.0,3.0,,,,,
2020-01-01 23,0.0,3.0,,,,,
2020-01-02 06,0.0,1.0,,,,,
2020-01-02 07,0.0,1.0,,,,,
2020-01-02 08,0.0,1.0,,,,,
2020-01-02 09,0.0,1.0,,,,,
2020-01-02 10,0.0,1.0,,,,,
2020-01-02 11,0.0,1.0,,,,,
2020-01-02 12,0.0,1.0,,,,,
2020-01-02 13,0.0,1.0,,,,,
2020-01-02 14,0.0,1.0,,,,,
2020-01-02 15,0.0,1.0,,,,,
2020-01-02 16,0.0,1.0,,,,,
2020-01-02 17,0.0,1.0,,,,,
2020-01-02 18,0.0,1.0,,,,,
2020-01-02 19,0.0,1.0,,,,,
2020-01-02 20,0.0,1.0,,,,,
2020-01-02 21,0.0,1.0,,,,,
2020-01-02 22,0.0,1.0,,,,,
2020-01-02 23,0.0,1.0,,,,,
2020-01-03 06,0.0,1.0,,,,,
2020-01-03 07,0.0,1.0,,,,,
2020-01-03 08,0.0,1.0,,,,,
2020-01-03 09,0.0,1.0,,,,,
2020-01-03 10,0.0,1.0,,,,,
2020-01-03 11,0.0,1.0,,,,,
2020-01-03 12,0.0,1.0,,,,,
2020-01-03 13,0.0,1.0,,,,,
2020-01-03 14,0.0,1.0,,,,,
2020-01-03 15,0.0,1.0,,,,,
2020-01-03 16,0.0,1.0,,,,,
2020-01-03 17,0.0,1.0,,,,,
2020-01-03 18,0.0,1.0,,,,,
2020-01-03 19,0.0,1.0,,,,,
2020-01-03 20,0.0,1.0,,,,,
2020-01-03 21,0.0,1.0,,,,,
2020-01-03 22,0.0,1.0,,,,,
2020-01-03 23,0.0,1.0,,,,,
2020-01-04 06,0.0,2.0,,,,,
2020-01-04 07,0.0,2.0,,,,,
2020-01-04 08,0.0,2.0,,,,,
2020-01-04 09,0.0,2.0,,,,,
2020-01-04 10,0.0,2.0,,,,,
2020-01-04 11,0.0,2.0,,,,,
2020-01-04 12,0.0,2.0,,,,,
2020-01-04 13,0.0,2.0,,,,,
2020-01-04 14,0.0,2.0,,,,,
2020-01-04 15,0.0,2.0,,,,,
2020-01-04 16,0.0,2.0,,,,,
2020-01-04 17,0.0,2.0,,,,,
2020-01-04 18,0.0,2.0,,,,,
2020-01-04 19,0.0,2.0,,,,,
2020-01-04 20,0.0,2.0,,,,,
2020-01-04 21,0.0,2.0,,,,,
2020-01-04 22,0.0,2.0,,,,,
2020-01-04 23,0.0,2.0,,,,,
2020-01-05 06,0.0,2.0,,,,,
2020-01-05 07,0.0,2.0,,,,,
2020-01-05 08,0.0,2.0,,,,,
2020-01-05 09,0.0,2.0,,,,,
2020-01-05 10,0.0,2.0,,,,,
2020-01-05 11,0.0,2.0,,,,,
2020-01-05 12,0.0,2.0,,,,,
2020-01-05 13,0.0,2.0,,,,,
2020-01-05 14,0.0,2.0,,,,,
2020-01-05 15,0.0,2.0,,,,,
