Num,Hour,Date,DateType
27,6,2020/1/24,3
51,7,2020/1/24,3
60,8,2020/1/24,3
55,9,2020/1/24,3
56,10,2020/1/24,3
55,11,2020/1/24,3
56,12,2020/1/24,3
50,13,2020/1/24,3
67,14,2020/1/24,3
56,15,2020/1/24,3
66,16,2020/1/24,3
58,17,2020/1/24,3
43,18,2020/1/24,3
37,19,2020/1/24,3
32,20,2020/1/24,3
22,21,2020/1/24,3
9,22,2020/1/24,3
0,23,2020/1/24,3
14,6,2020/1/25,3
22,7,2020/1/25,3
28,8,2020/1/25,3
38,9,2020/1/25,3
32,10,2020/1/25,3
35,11,2020/1/25,3
39,12,2020/1/25,3
42,13,2020/1/25,3
45,14,2020/1/25,3
20,15,2020/1/25,3
33,16,2020/1/25,3
38,17,2020/1/25,3
48,18,2020/1/25,3
30,19,2020/1/25,3
22,20,2020/1/25,3
14,21,2020/1/25,3
3,22,2020/1/25,3
0,23,2020/1/25,3
9,6,2020/1/26,3
16,7,2020/1/26,3
26,8,2020/1/26,3
32,9,2020/1/26,3
38,10,2020/1/26,3
25,11,2020/1/26,3
32,12,2020/1/26,3
34,13,2020/1/26,3
37,14,2020/1/26,3
31,15,2020/1/26,3
28,16,2020/1/26,3
31,17,2020/1/26,3
48,18,2020/1/26,3
32,19,2020/1/26,3
21,20,2020/1/26,3
9,21,2020/1/26,3
7,22,2020/1/26,3
1,23,2020/1/26,3
7,6,2020/1/27,3
10,7,2020/1/27,3
18,8,2020/1/27,3
14,9,2020/1/27,3
41,10,2020/1/27,3
13,11,2020/1/27,3
29,12,2020/1/27,3
27,13,2020/1/27,3
20,14,2020/1/27,3
38,15,2020/1/27,3
30,16,2020/1/27,3
26,17,2020/1/27,3
40,18,2020/1/27,3
24,19,2020/1/27,3
19,20,2020/1/27,3
9,21,2020/1/27,3
4,22,2020/1/27,3
0,23,2020/1/27,3
6,6,2020/1/28,3
18,7,2020/1/28,3
19,8,2020/1/28,3
21,9,2020/1/28,3
21,10,2020/1/28,3
23,11,2020/1/28,3
26,12,2020/1/28,3
25,13,2020/1/28,3
30,14,2020/1/28,3
32,15,2020/1/28,3
21,16,2020/1/28,3
32,17,2020/1/28,3
46,18,2020/1/28,3
19,19,2020/1/28,3
11,20,2020/1/28,3
18,21,2020/1/28,3
4,22,2020/1/28,3
0,23,2020/1/28,3
6,6,2020/1/29,3
14,7,2020/1/29,3
19,8,2020/1/29,3
22,9,2020/1/29,3
19,10,2020/1/29,3
20,11,2020/1/29,3
20,12,2020/1/29,3
36,13,2020/1/29,3
31,14,2020/1/29,3
31,15,2020/1/29,3
35,16,2020/1/29,3
25,17,2020/1/29,3
51,18,2020/1/29,3
14,19,2020/1/29,3
9,20,2020/1/29,3
12,21,2020/1/29,3
5,22,2020/1/29,3
1,23,2020/1/29,3
5,6,2020/1/30,3
9,7,2020/1/30,3
22,8,2020/1/30,3
14,9,2020/1/30,3
17,10,2020/1/30,3
19,11,2020/1/30,3
21,12,2020/1/30,3
18,13,2020/1/30,3
24,14,2020/1/30,3
27,15,2020/1/30,3
24,16,2020/1/30,3
25,17,2020/1/30,3
35,18,2020/1/30,3
12,19,2020/1/30,3
6,20,2020/1/30,3
11,21,2020/1/30,3
1,22,2020/1/30,3
0,23,2020/1/30,3
7,6,2020/1/31,3
16,7,2020/1/31,3
15,8,2020/1/31,3
18,9,2020/1/31,3
8,10,2020/1/31,3
13,11,2020/1/31,3
19,12,2020/1/31,3
20,13,2020/1/31,3
19,14,2020/1/31,3
25,15,2020/1/31,3
15,16,2020/1/31,3
21,17,2020/1/31,3
16,18,2020/1/31,3
19,19,2020/1/31,3
5,20,2020/1/31,3
0,21,2020/1/31,3
0,22,2020/1/31,3
0,23,2020/1/31,3
0,6,2020/1/31,3
11,7,2020/2/1,3
13,8,2020/2/1,3
12,9,2020/2/1,3
7,10,2020/2/1,3
11,11,2020/2/1,3
11,12,2020/2/1,3
17,13,2020/2/1,3
14,14,2020/2/1,3
15,15,2020/2/1,3
7,16,2020/2/1,3
17,17,2020/2/1,3
11,18,2020/2/1,3
10,19,2020/2/1,3
4,20,2020/2/1,3
4,21,2020/2/1,3
0,22,2020/2/1,3
0,23,2020/2/1,3
0,6,2020/2/2,3
12,7,2020/2/2,3
12,8,2020/2/2,3
11,9,2020/2/2,3
5,10,2020/2/2,3
15,11,2020/2/2,3
5,12,2020/2/2,3
8,13,2020/2/2,3
11,14,2020/2/2,3
19,15,2020/2/2,3
8,16,2020/2/2,3
19,17,2020/2/2,3
11,18,2020/2/2,3
14,19,2020/2/2,3
5,20,2020/2/2,3
0,21,2020/2/2,3
0,22,2020/2/2,3
0,23,2020/2/2,3
0,6,2020/2/3,1
18,7,2020/2/3,1
12,8,2020/2/3,1
12,9,2020/2/3,1
10,10,2020/2/3,1
12,11,2020/2/3,1
5,12,2020/2/3,1
16,13,2020/2/3,1
9,14,2020/2/3,1
14,15,2020/2/3,1
10,16,2020/2/3,1
16,17,2020/2/3,1
12,18,2020/2/3,1
9,19,2020/2/3,1
1,20,2020/2/3,1
0,21,2020/2/3,1
0,22,2020/2/3,1
0,23,2020/2/3,1
0,6,2020/2/4,1
7,7,2020/2/4,1
11,8,2020/2/4,1
10,9,2020/2/4,1
9,10,2020/2/4,1
8,11,2020/2/4,1
8,12,2020/2/4,1
9,13,2020/2/4,1
12,14,2020/2/4,1
11,15,2020/2/4,1
12,16,2020/2/4,1
22,17,2020/2/4,1
14,18,2020/2/4,1
8,19,2020/2/4,1
1,20,2020/2/4,1
1,21,2020/2/4,1
0,22,2020/2/4,1
0,23,2020/2/4,1
0,6,2020/2/5,1
19,7,2020/2/5,1
7,8,2020/2/5,1
7,9,2020/2/5,1
5,10,2020/2/5,1
10,11,2020/2/5,1
11,12,2020/2/5,1
14,13,2020/2/5,1
13,14,2020/2/5,1
11,15,2020/2/5,1
13,16,2020/2/5,1
14,17,2020/2/5,1
9,18,2020/2/5,1
9,19,2020/2/5,1
3,20,2020/2/5,1
0,21,2020/2/5,1
0,22,2020/2/5,1
0,23,2020/2/5,1
0,6,2020/2/6,1
13,7,2020/2/6,1
6,8,2020/2/6,1
10,9,2020/2/6,1
7,10,2020/2/6,1
13,11,2020/2/6,1
9,12,2020/2/6,1
8,13,2020/2/6,1
5,14,2020/2/6,1
12,15,2020/2/6,1
12,16,2020/2/6,1
18,17,2020/2/6,1
9,18,2020/2/6,1
6,19,2020/2/6,1
5,20,2020/2/6,1
0,21,2020/2/6,1
0,22,2020/2/6,1
0,23,2020/2/6,1
0,6,2020/2/7,1
15,7,2020/2/7,1
13,8,2020/2/7,1
5,9,2020/2/7,1
12,10,2020/2/7,1
13,11,2020/2/7,1
9,12,2020/2/7,1
5,13,2020/2/7,1
9,14,2020/2/7,1
13,15,2020/2/7,1
5,16,2020/2/7,1
17,17,2020/2/7,1
10,18,2020/2/7,1
12,19,2020/2/7,1
4,20,2020/2/7,1
1,21,2020/2/7,1
0,22,2020/2/7,1
0,23,2020/2/7,1
0,6,2020/2/8,2
12,7,2020/2/8,2
10,8,2020/2/8,2
10,9,2020/2/8,2
4,10,2020/2/8,2
3,11,2020/2/8,2
6,12,2020/2/8,2
17,13,2020/2/8,2
9,14,2020/2/8,2
14,15,2020/2/8,2
7,16,2020/2/8,2
15,17,2020/2/8,2
11,18,2020/2/8,2
7,19,2020/2/8,2
5,20,2020/2/8,2
0,21,2020/2/8,2
0,22,2020/2/8,2
0,23,2020/2/8,2
3,6,2020/2/9,2
9,7,2020/2/9,2
12,8,2020/2/9,2
9,9,2020/2/9,2
4,10,2020/2/9,2
8,11,2020/2/9,2
15,12,2020/2/9,2
14,13,2020/2/9,2
7,14,2020/2/9,2
12,15,2020/2/9,2
9,16,2020/2/9,2
15,17,2020/2/9,2
11,18,2020/2/9,2
11,19,2020/2/9,2
5,20,2020/2/9,2
4,21,2020/2/9,2
3,22,2020/2/9,2
0,23,2020/2/9,2
2,6,2020/2/10,1
21,7,2020/2/10,1
12,8,2020/2/10,1
13,9,2020/2/10,1
14,10,2020/2/10,1
8,11,2020/2/10,1
6,12,2020/2/10,1
13,13,2020/2/10,1
12,14,2020/2/10,1
10,15,2020/2/10,1
12,16,2020/2/10,1
24,17,2020/2/10,1
12,18,2020/2/10,1
9,19,2020/2/10,1
3,20,2020/2/10,1
3,21,2020/2/10,1
0,22,2020/2/10,1
0,23,2020/2/10,1
3,6,2020/2/11,1
17,7,2020/2/11,1
15,8,2020/2/11,1
4,9,2020/2/11,1
9,10,2020/2/11,1
6,11,2020/2/11,1
4,12,2020/2/11,1
8,13,2020/2/11,1
8,14,2020/2/11,1
11,15,2020/2/11,1
2,16,2020/2/11,1
15,17,2020/2/11,1
14,18,2020/2/11,1
5,19,2020/2/11,1
4,20,2020/2/11,1
5,21,2020/2/11,1
1,22,2020/2/11,1
0,23,2020/2/11,1
4,6,2020/2/12,1
17,7,2020/2/12,1
12,8,2020/2/12,1
10,9,2020/2/12,1
10,10,2020/2/12,1
8,11,2020/2/12,1
3,12,2020/2/12,1
12,13,2020/2/12,1
9,14,2020/2/12,1
7,15,2020/2/12,1
12,16,2020/2/12,1
16,17,2020/2/12,1
10,18,2020/2/12,1
8,19,2020/2/12,1
3,20,2020/2/12,1
3,21,2020/2/12,1
1,22,2020/2/12,1
0,23,2020/2/12,1
5,6,2020/2/13,1
20,7,2020/2/13,1
10,8,2020/2/13,1
7,9,2020/2/13,1
5,10,2020/2/13,1
12,11,2020/2/13,1
8,12,2020/2/13,1
8,13,2020/2/13,1
6,14,2020/2/13,1
12,15,2020/2/13,1
11,16,2020/2/13,1
18,17,2020/2/13,1
16,18,2020/2/13,1
7,19,2020/2/13,1
4,20,2020/2/13,1
5,21,2020/2/13,1
0,22,2020/2/13,1
0,23,2020/2/13,1
1,6,2020/2/14,1
20,7,2020/2/14,1
14,8,2020/2/14,1
7,9,2020/2/14,1
7,10,2020/2/14,1
7,11,2020/2/14,1
5,12,2020/2/14,1
8,13,2020/2/14,1
12,14,2020/2/14,1
12,15,2020/2/14,1
15,16,2020/2/14,1
15,17,2020/2/14,1
12,18,2020/2/14,1
8,19,2020/2/14,1
10,20,2020/2/14,1
5,21,2020/2/14,1
0,22,2020/2/14,1
0,23,2020/2/14,1
5,6,2020/2/15,2
15,7,2020/2/15,2
9,8,2020/2/15,2
10,9,2020/2/15,2
5,10,2020/2/15,2
12,11,2020/2/15,2
9,12,2020/2/15,2
